time,success,flying,dropped,failed
0,0,0,0,0
10000,0,6,2,0
20000,0,21,3,0
30000,0,29,5,0
40000,0,35,8,0
50000,0,38,11,0
60000,1,43,16,0
70000,1,47,23,0
80000,3,53,25,0
90000,8,58,30,0
100000,12,64,35,0
110000,16,63,41,0
120000,23,65,49,0
130000,27,66,53,0
140000,32,69,58,0
150000,39,70,61,0
160000,43,67,67,0
170000,48,69,72,0
180000,53,66,78,0
190000,61,62,84,0
200000,66,62,92,0
210000,70,65,96,0
220000,75,65,100,0
230000,79,65,103,0
240000,87,61,110,0
250000,90,60,117,0
260000,94,65,119,0
270000,101,60,120,0
280000,110,57,130,0
290000,117,54,131,0
300000,122,56,135,0
310000,126,58,139,0
320000,132,60,141,0
330000,140,53,146,0
340000,143,56,149,0
350000,149,50,157,0
360000,153,56,164,0
370000,161,51,166,0
380000,167,50,168,0
390000,169,56,175,0
400000,171,58,175,0
410000,172,63,181,0
420000,178,65,184,0
430000,182,72,189,0
440000,189,70,191,0
450000,194,70,195,0
460000,200,73,197,0
470000,206,73,202,0
480000,216,68,205,0
490000,221,70,209,0
500000,227,69,212,0
510000,235,67,217,0
520000,242,62,221,0
530000,245,64,227,0
540000,254,62,230,0
550000,260,61,235,0
560000,264,66,237,0
570000,270,66,241,0
580000,273,66,247,0
590000,277,69,252,0
600000,289,63,257,0
610000,294,60,259,0
620000,303,52,264,0
630000,304,58,267,0
640000,311,58,272,0
650000,316,61,274,0
660000,323,65,277,0
670000,326,71,280,0
680000,337,67,280,0
690000,343,64,285,0
700000,352,62,289,0
710000,363,54,291,0
720000,367,56,293,0
730000,373,55,295,0
740000,377,59,300,0
750000,383,60,302,0
760000,387,59,307,0
770000,391,55,312,0
780000,397,55,317,0
790000,403,53,318,0
800000,408,59,319,0
810000,414,61,323,0
820000,417,62,324,0
830000,425,64,331,0
840000,429,69,336,0
850000,432,74,340,0
860000,437,75,341,0
870000,440,75,347,0
880000,447,77,350,0
890000,457,74,352,0
900000,461,78,354,0
910000,467,77,357,0
920000,477,71,362,0
930000,482,75,363,0
940000,491,72,370,0
950000,499,71,374,0
