type,start,end,duration
RETRIEVE,6064510,6195674,131164
RETRIEVE,6221832,6453536,231704
DELETE,8291542,9167840,876298
DELETE,7679127,8870129,1191002
DELETE,7614156,8508084,893928
RETRIEVE,615823,831487,215664
RETRIEVE,3680143,3943109,262966
RETRIEVE,2694157,2895961,201804
ADD,5772521,7087269,1314748
RETRIEVE,9233407,9381143,147736
DELETE,5590207,6319543,729336
DELETE,3695845,4579193,883348
DELETE,1890691,2803945,913254
ADD,495486,1272441,776955
DELETE,7697658,8438871,741213
DELETE,2772263,3877597,1105334
ADD,4314299,5006113,691814
DELETE,8340127,9491320,1151193
RETRIEVE,2365731,2643765,278034
RETRIEVE,4182083,4466797,284714
ADD,8156823,8950852,794029
DELETE,3014937,3916443,901506
ADD,8151458,9037159,885701
DELETE,8175088,9134970,959882
ADD,4892362,5875451,983089
DELETE,6234480,7407695,1173215
ADD,9104050,9895559,791509
ADD,3105130,4320804,1215674
DELETE,3267661,4578536,1310875
DELETE,2143969,3153379,1009410
ADD,5233698,6234955,1001257
DELETE,3023710,3969065,945355
RETRIEVE,8566304,8792640,226336
DELETE,5701152,6373474,672322
RETRIEVE,1756442,2052004,295562
DELETE,6895486,8260039,1364553
RETRIEVE,8169683,8341091,171408
RETRIEVE,3381826,3527092,145266
RETRIEVE,9660661,9833007,172346
ADD,3660445,4729518,1069073
RETRIEVE,6812906,7041476,228570
RETRIEVE,1118753,1261497,142744
RETRIEVE,5867764,6106404,238640
ADD,7034559,7807892,773333
RETRIEVE,8703885,8871523,167638
ADD,4954710,6061841,1107131
ADD,3817089,4895176,1078087
ADD,4931215,5772493,841278
ADD,404581,1234705,830124
ADD,5479923,6396114,916191
RETRIEVE,2788542,2912226,123684
ADD,7219098,8093070,873972
ADD,2748930,3462711,713781
RETRIEVE,372206,585984,213778
ADD,3584052,4601568,1017516
RETRIEVE,1357498,1530164,172666
RETRIEVE,8190471,8309517,119046
ADD,5281080,6291120,1010040
RETRIEVE,7748604,7953042,204438
ADD,6452038,7375723,923685
DELETE,4967871,6048450,1080579
RETRIEVE,3895929,4057261,161332
ADD,192398,1631781,1439383
DELETE,5072232,6271619,1199387
RETRIEVE,7333913,7499545,165632
ADD,1938538,2826157,887619
RETRIEVE,5313503,5512275,198772
RETRIEVE,5600677,5784071,183394
RETRIEVE,4341097,4534121,193024
RETRIEVE,8688924,8895362,206438
ADD,3568540,4848185,1279645
DELETE,4090872,5046946,956074
RETRIEVE,96416,217040,120624
RETRIEVE,3097920,3373376,275456
ADD,7233869,8282523,1048654
RETRIEVE,8170157,8344793,174636
RETRIEVE,9382033,9515991,133958
RETRIEVE,3198530,3430732,232202
ADD,4204058,5317480,1113422
ADD,6268138,6851957,583819
ADD,188403,791835,603432
RETRIEVE,3996821,4181751,184930
DELETE,5926466,7936993,2010527
RETRIEVE,826063,1082437,256374
RETRIEVE,5654780,5854390,199610
ADD,6197241,7560933,1363692
RETRIEVE,4631252,4842600,211348
ADD,1075694,2407590,1331896
ADD,4424668,6202185,1777517
DELETE,4692782,5400485,707703
DELETE,546418,1650047,1103629
RETRIEVE,3857398,4048246,190848
ADD,3242704,4362917,1120213
ADD,775865,1438033,662168
RETRIEVE,9346729,9484477,137748
RETRIEVE,1139345,1357999,218654
RETRIEVE,6144963,6479113,334150
ADD,8140614,9015967,875353
RETRIEVE,5340335,5513787,173452
DELETE,7453461,8344295,890834
DELETE,5303936,6146085,842149
RETRIEVE,1489878,1761742,271864
ADD,404926,1433624,1028698
ADD,472008,1160376,688368
DELETE,7152546,8053589,901043
RETRIEVE,9323117,9444497,121380
ADD,6527820,7494381,966561
ADD,232422,1114983,882561
ADD,7679883,8644656,964773
ADD,2448698,3318223,869525
DELETE,7071377,8225720,1154343
ADD,1539831,2380711,840880
RETRIEVE,4410154,4622464,212310
RETRIEVE,8995158,9328132,332974
DELETE,7887169,9490042,1602873
RETRIEVE,2283801,2380475,96674
ADD,4227276,5241086,1013810
RETRIEVE,6230751,6489275,258524
DELETE,3001920,3941457,939537
RETRIEVE,1871428,1958538,87110
RETRIEVE,6568034,6696186,128152
RETRIEVE,6717348,6901016,183668
ADD,1682951,2115120,432169
RETRIEVE,7422474,7700462,277988
ADD,5601934,6380093,778159
DELETE,3540408,4140060,599652
RETRIEVE,5904645,6095893,191248
DELETE,1386066,1803764,417698
RETRIEVE,7635434,7845326,209892
RETRIEVE,5270446,5453010,182564
DELETE,8357250,9474174,1116924
ADD,7092628,8298129,1205501
ADD,447856,1279499,831643
RETRIEVE,8499909,8808633,308724
DELETE,5136752,6011178,874426
ADD,5684895,6804468,1119573
ADD,6291479,7528025,1236546
DELETE,6338082,7572655,1234573
DELETE,2224616,3328866,1104250
ADD,1932743,2894802,962059
RETRIEVE,686631,961387,274756
DELETE,8525813,9427393,901580
DELETE,1635434,2651505,1016071
DELETE,2778097,3443415,665318
RETRIEVE,7789482,8018446,228964
RETRIEVE,8775368,9000848,225480
RETRIEVE,5499649,5667333,167684
ADD,43672,1190696,1147024
DELETE,4711508,5420860,709352
ADD,4476448,6053084,1576636
RETRIEVE,2047213,2366637,319424
