time,success,flying,dropped,failed
0,0,0,0,0
10000,0,6,0,0
20000,0,16,0,0
30000,0,27,0,0
40000,1,35,0,0
50000,1,49,0,0
60000,1,56,0,0
70000,3,66,0,0
80000,4,72,0,0
90000,8,79,0,0
100000,11,85,0,0
110000,22,84,0,0
120000,37,78,0,0
130000,45,82,0,0
140000,53,85,0,0
150000,59,89,0,0
160000,68,90,0,0
170000,81,83,0,0
180000,86,83,0,0
190000,94,88,0,0
200000,104,89,0,0
210000,116,88,0,0
220000,131,80,0,0
230000,138,79,0,0
240000,142,83,0,0
250000,158,81,0,0
260000,164,89,0,0
270000,172,86,0,0
280000,176,93,0,0
290000,182,99,0,0
300000,191,101,0,0
310000,200,105,0,0
320000,208,112,0,0
330000,220,111,0,0
340000,231,110,0,0
350000,242,106,0,0
360000,256,100,0,0
370000,266,100,0,0
380000,278,101,0,0
390000,288,100,0,0
400000,296,104,0,0
410000,306,102,0,0
420000,310,109,0,0
430000,328,98,0,0
440000,343,93,0,0
450000,357,91,0,0
460000,368,86,0,0
470000,374,96,0,0
480000,381,100,0,0
490000,390,104,0,0
500000,404,101,0,0
510000,415,100,0,0
520000,423,100,0,0
530000,433,102,0,0
540000,441,107,0,0
550000,453,105,0,0
560000,466,100,0,0
570000,475,100,0,0
580000,488,98,0,0
590000,499,94,0,0
600000,510,98,0,0
610000,519,100,0,0
620000,527,100,0,0
630000,539,102,0,0
640000,548,103,0,0
650000,563,91,0,0
660000,571,92,0,0
670000,573,101,0,0
680000,584,99,0,0
690000,596,94,0,0
700000,607,95,0,0
710000,624,82,0,0
720000,631,85,0,0
730000,639,87,0,0
740000,652,85,0,0
750000,666,79,0,0
760000,674,86,0,0
770000,686,88,0,0
780000,696,90,0,0
790000,703,98,0,0
800000,712,93,0,0
810000,717,96,0,0
820000,722,105,0,0
830000,727,106,0,0
840000,740,105,0,0
850000,754,102,0,0
860000,764,103,0,0
870000,780,92,0,0
880000,791,94,0,0
890000,799,92,0,0
900000,811,93,0,0
910000,824,90,0,0
920000,835,85,0,0
930000,851,79,0,0
940000,855,89,0,0
950000,860,92,0,0
960000,868,92,0,0
970000,874,93,0,0
980000,884,94,0,0
990000,891,92,0,0
1000000,906,84,0,0
1010000,918,78,0,0
1020000,928,78,0,0
1030000,934,83,0,0
1040000,939,87,0,0
1050000,950,90,0,0
1060000,960,87,0,0
1070000,966,93,0,0
1080000,976,90,0,0
1090000,985,92,0,0
1100000,1000,86,0,0
1110000,1006,90,0,0
1120000,1015,90,0,0
1130000,1025,92,0,0
1140000,1036,92,0,0
1150000,1048,90,0,0
1160000,1056,92,0,0
1170000,1067,87,0,0
1180000,1077,82,0,0
1190000,1083,89,0,0
1200000,1094,89,0,0
1210000,1098,96,0,0
1220000,1106,95,0,0
1230000,1116,91,0,0
1240000,1127,88,0,0
1250000,1138,91,0,0
1260000,1146,97,0,0
1270000,1157,91,0,0
1280000,1164,95,0,0
1290000,1176,95,0,0
1300000,1186,96,0,0
1310000,1201,94,0,0
1320000,1208,102,0,0
1330000,1213,108,0,0
1340000,1222,109,0,0
1350000,1227,111,0,0
1360000,1239,107,0,0
1370000,1252,104,0,0
1380000,1261,108,0,0
1390000,1276,102,0,0
1400000,1285,105,0,0
1410000,1293,105,0,0
1420000,1307,102,0,0
1430000,1317,99,0,0
1440000,1330,96,0,0
1450000,1347,91,0,0
1460000,1357,87,0,0
1470000,1363,97,0,0
1480000,1376,95,0,0
1490000,1381,103,0,0
1500000,1393,102,0,0
1510000,1400,105,0,0
1520000,1408,105,0,0
1530000,1418,107,0,0
1540000,1429,109,0,0
1550000,1444,104,0,0
1560000,1456,100,0,0
1570000,1466,99,0,0
1580000,1477,99,0,0
1590000,1489,94,0,0
1600000,1500,98,0,0
1610000,1511,98,0,0
1620000,1521,96,0,0
1630000,1528,103,0,0
1640000,1541,100,0,0
1650000,1552,92,0,0
1660000,1559,94,0,0
1670000,1571,93,0,0
1680000,1583,90,0,0
1690000,1591,89,0,0
1700000,1597,95,0,0
