time,success,flying,dropped,failed
0,0,0,0,0
100000,4,206,168,0
200000,89,257,295,0
300000,155,351,505,0
400000,215,443,631,0
500000,303,539,808,0
600000,445,610,932,0
700000,679,571,1153,0
800000,839,523,1321,0
900000,967,585,1419,0
1000000,1155,671,1514,0
1100000,1348,617,1687,0
1200000,1502,579,1822,7
1300000,1683,548,2004,7
1400000,1845,576,2135,7
1500000,2019,620,2290,7
1600000,2248,612,2418,7
1700000,2430,667,2561,7
1800000,2609,621,2718,7
1900000,2825,604,2849,7
2000000,3044,624,2981,7
2100000,3261,606,3184,7
2200000,3429,594,3344,7
2300000,3634,554,3552,14
2400000,3800,564,3655,14
2500000,4046,525,3772,15
2600000,4243,480,3926,18
2700000,4432,486,4089,18
2800000,4582,502,4267,18
2900000,4755,493,4398,18
3000000,4887,548,4543,18
3100000,5049,603,4682,18
3200000,5230,565,4824,18
3300000,5358,616,4995,18
3400000,5579,566,5115,21
3500000,5785,558,5240,21
3600000,5954,520,5401,21
3700000,6125,552,5579,21
3800000,6281,563,5719,21
3900000,6428,508,5877,21
4000000,6590,509,6041,21
4100000,6769,614,6227,21
4200000,6937,608,6386,21
4300000,7072,622,6594,21
4400000,7238,588,6780,21
4500000,7407,586,6896,21
4600000,7651,573,7014,28
4700000,7797,613,7159,28
4800000,8003,553,7317,28
4900000,8185,550,7468,28
