time,success,flying,dropped,failed
0,0,0,0,0
10000,0,4,2,0
20000,0,14,2,0
30000,0,21,6,0
40000,0,30,6,0
50000,0,41,9,0
60000,0,48,9,0
70000,1,57,11,0
80000,1,63,12,0
90000,1,73,13,0
100000,1,82,13,0
110000,1,90,15,0
120000,1,95,19,0
130000,1,105,21,0
140000,1,113,24,0
150000,2,120,26,0
160000,4,125,29,0
170000,4,130,30,0
180000,6,131,32,0
190000,6,139,37,0
200000,7,146,40,0
210000,8,154,42,0
220000,12,151,48,0
230000,13,156,48,0
240000,15,159,51,0
250000,17,171,51,0
260000,25,175,53,0
270000,29,175,54,0
280000,32,181,56,0
290000,32,187,62,0
300000,33,194,65,0
310000,35,201,69,0
320000,38,209,73,0
330000,51,205,75,0
340000,57,209,75,0
350000,60,212,76,0
360000,67,213,76,0
370000,69,220,77,0
380000,74,225,80,0
390000,80,226,82,0
400000,91,226,83,0
410000,97,225,86,0
420000,108,223,88,0
430000,114,223,89,0
440000,120,226,90,0
450000,125,228,95,0
460000,130,227,97,0
470000,140,232,98,0
480000,149,230,102,0
490000,162,227,105,0
500000,169,229,107,0
510000,177,228,110,0
520000,181,230,112,0
530000,188,229,118,0
540000,192,232,124,0
550000,197,236,125,0
560000,200,240,126,0
570000,206,238,131,0
580000,214,239,133,0
590000,218,241,134,0
600000,227,246,135,0
610000,239,242,138,0
620000,245,241,141,0
630000,253,245,143,0
640000,265,241,145,0
650000,271,238,145,0
660000,278,239,146,0
670000,286,238,150,0
680000,292,239,152,0
690000,302,234,154,0
700000,316,231,155,0
710000,329,219,158,0
720000,338,217,161,0
730000,344,219,163,0
740000,350,221,166,0
750000,356,223,166,0
760000,364,230,166,0
770000,379,226,169,0
780000,382,234,170,0
790000,386,243,172,0
800000,395,238,172,0
810000,403,236,174,0
820000,408,244,175,0
830000,415,241,177,0
840000,422,244,179,0
850000,434,241,181,0
860000,442,243,182,0
870000,450,238,184,0
880000,455,243,187,0
890000,464,237,190,0
900000,475,238,191,0
910000,485,235,194,0
920000,495,229,196,0
930000,499,232,199,0
940000,506,236,202,0
