time,success,flying,dropped,failed
0,0,0,0,0
100000,0,240,12,0
200000,16,548,36,0
300000,63,680,90,0
400000,180,881,111,0
500000,298,1059,147,0
600000,421,1223,174,0
700000,578,1377,229,0
800000,723,1513,294,0
900000,856,1642,322,0
1000000,1061,1726,359,0
1100000,1251,1865,410,0
1200000,1525,1962,437,3
1300000,1791,1933,488,3
1400000,2077,1916,535,11
1500000,2401,1904,594,11
1600000,2707,1873,643,11
1700000,2975,1828,700,11
1800000,3192,1884,738,11
1900000,3485,1839,774,17
2000000,3789,1838,821,17
2100000,4080,1742,861,18
2200000,4380,1797,889,18
2300000,4693,1744,932,18
2400000,5020,1701,987,18
2500000,5226,1771,1032,22
2600000,5511,1734,1080,22
2700000,5733,1815,1143,22
2800000,6015,1878,1173,22
2900000,6280,1906,1208,22
3000000,6506,1996,1267,24
3100000,6790,2048,1313,25
3200000,7162,2000,1319,25
3300000,7457,1931,1357,25
3400000,7748,1907,1402,25
3500000,8001,2007,1467,25
3600000,8323,1976,1534,25
3700000,8649,1887,1590,25
3800000,8934,1894,1630,29
3900000,9246,1843,1662,29
4000000,9542,1825,1721,29
4100000,9843,1727,1745,32
4200000,10142,1838,1776,32
4300000,10368,1895,1813,32
4400000,10655,1844,1871,35
4500000,10946,1827,1920,35
4600000,11236,1846,1960,39
4700000,11610,1811,1995,39
4800000,11933,1759,2022,39
4900000,12247,1674,2071,39
5000000,12516,1741,2079,39
5100000,12811,1757,2128,39
5200000,13196,1715,2171,39
5300000,13369,1772,2232,40
5400000,13582,1826,2270,40
5500000,13890,1857,2328,48
5600000,14127,1857,2375,49
5700000,14405,1860,2421,50
5800000,14649,1851,2449,50
5900000,14880,1870,2493,50
6000000,15141,1903,2529,50
6100000,15457,1870,2561,50
6200000,15726,1971,2604,50
6300000,16001,1926,2643,50
6400000,16286,1945,2683,50
6500000,16587,1963,2728,50
6600000,16929,1919,2775,50
6700000,17172,1963,2831,50
6800000,17416,2063,2867,50
6900000,17708,2012,2892,50
7000000,18024,2039,2933,50
7100000,18241,2111,3000,59
7200000,18599,2063,3053,59
7300000,18951,1937,3120,59
7400000,19288,1900,3143,59
7500000,19574,1930,3185,59
7600000,19832,1986,3220,78
7700000,20129,1925,3300,78
7800000,20466,1820,3363,85
7900000,20802,1830,3386,85
8000000,21071,1866,3430,85
8100000,21361,1784,3505,85
8200000,21629,1899,3559,85
8300000,21892,1878,3619,88
8400000,22181,1894,3658,88
8500000,22469,1932,3689,88
8600000,22731,1949,3722,88
8700000,22992,1946,3763,93
8800000,23307,1936,3812,93
8900000,23615,1885,3855,93
9000000,23907,1870,3902,93
9100000,24195,1895,3931,93
9200000,24467,1936,4003,96
9300000,24750,1857,4054,96
9400000,25068,1772,4132,96
9500000,25372,1768,4200,96
9600000,25620,1802,4249,96
9700000,25927,1805,4292,96
9800000,26282,1711,4333,99
9900000,26522,1750,4379,99
