type,start,end,duration
ADD,2887281,3404155,516874
RETRIEVE,1269349,1342487,73138
ADD,2645679,3192847,547168
ADD,2343810,2743673,399863
RETRIEVE,2511480,2621064,109584
ADD,1317878,1680545,362667
RETRIEVE,3041547,3158947,117400
ADD,656726,1072089,415363
ADD,2174069,2621348,447279
RETRIEVE,1398856,1454908,56052
DELETE,216750,666021,449271
RETRIEVE,787903,928201,140298
RETRIEVE,3591064,3651784,60720
ADD,3526961,3891129,364168
ADD,360715,564181,203466
ADD,3988215,4347685,359470
RETRIEVE,4549798,4685432,135634
RETRIEVE,1397129,1465773,68644
ADD,3668627,4006113,337486
RETRIEVE,1101972,1217424,115452
RETRIEVE,474974,578502,103528
RETRIEVE,4026080,4122054,95974
RETRIEVE,660228,738134,77906
ADD,3752926,4147759,394833
RETRIEVE,2557319,2679493,122174
RETRIEVE,3660066,3760106,100040
RETRIEVE,1638873,1760515,121642
RETRIEVE,1353707,1431533,77826
RETRIEVE,1201761,1285769,84008
ADD,3419137,3804696,385559
RETRIEVE,1567514,1631546,64032
ADD,1638934,2159588,520654
RETRIEVE,1245407,1316129,70722
RETRIEVE,879213,1006309,127096
RETRIEVE,2951257,3074227,122970
RETRIEVE,1665991,1776499,110508
DELETE,785889,1122699,336810
ADD,3770697,4128333,357636
ADD,3683598,4191216,507618
RETRIEVE,4155379,4304201,148822
ADD,3696022,4217880,521858
RETRIEVE,337065,419571,82506
RETRIEVE,249406,364316,114910
ADD,1687328,2043417,356089
ADD,3017694,3540052,522358
ADD,4066760,4473711,406951
ADD,758123,1260618,502495
RETRIEVE,2723752,2828794,105042
RETRIEVE,495492,606832,111340
DELETE,1445303,1978779,533476
RETRIEVE,2187450,2291912,104462
RETRIEVE,2531837,2658047,126210
RETRIEVE,3269349,3362795,93446
ADD,832752,916225,83473
DELETE,1713105,2077902,364797
ADD,2679816,3227929,548113
RETRIEVE,3977644,4065442,87798
ADD,40388,411911,371523
RETRIEVE,1681062,1764168,83106
ADD,4065825,4596558,530733
RETRIEVE,957741,1007477,49736
ADD,1520773,1883125,362352
RETRIEVE,4698766,4819500,120734
ADD,3049450,3577830,528380
RETRIEVE,770387,851851,81464
RETRIEVE,3232638,3376268,143630
ADD,2935942,3379117,443175
RETRIEVE,4463367,4573603,110236
RETRIEVE,4233581,4360075,126494
RETRIEVE,4567514,4637838,70324
RETRIEVE,494646,577284,82638
RETRIEVE,2125953,2206185,80232
RETRIEVE,3832752,3921574,88822
RETRIEVE,2222510,2371424,148914
RETRIEVE,2657545,2797073,139528
ADD,1408733,2002706,593973
RETRIEVE,4014179,4126799,112620
RETRIEVE,101469,209613,108144
RETRIEVE,1968061,2092475,124414
ADD,3232687,3586506,353819
ADD,2957741,3271936,314195
RETRIEVE,4510689,4614639,103950
RETRIEVE,4188138,4285976,97838
ADD,3688685,4025541,336856
RETRIEVE,618139,697839,79700
RETRIEVE,1392900,1498696,105796
RETRIEVE,2287708,2422762,135054
ADD,2017322,2357300,339978
RETRIEVE,1941547,1995379,53832
RETRIEVE,2726259,2773841,47582
RETRIEVE,1716356,1816120,99764
RETRIEVE,1953635,2013513,59878
DELETE,2338846,2808628,469782
RETRIEVE,4454119,4565971,111852
RETRIEVE,1537509,1648821,111312
RETRIEVE,4558562,4693798,135236
ADD,4442729,4488282,45553
RETRIEVE,4660218,4748426,88208
ADD,1874783,2247335,372552
RETRIEVE,2338906,2445358,106452
RETRIEVE,2629706,2694288,64582
RETRIEVE,1826758,1888156,61398
RETRIEVE,4137610,4228390,90780
RETRIEVE,1858771,1972229,113458
RETRIEVE,4175256,4236668,61412
ADD,2409780,2829896,420116
ADD,3372638,3876847,504209
RETRIEVE,4302389,4396839,94450
RETRIEVE,1274588,1401386,126798
RETRIEVE,294055,390299,96244
RETRIEVE,663943,764935,100992
RETRIEVE,1216750,1322262,105512
ADD,647270,890323,243053
RETRIEVE,441810,531242,89432
RETRIEVE,3176154,3250098,73944
DELETE,368883,802617,433734
RETRIEVE,723833,817181,93348
RETRIEVE,3559448,3660554,101106
ADD,2372638,3021289,648651
RETRIEVE,1992864,2051548,58684
ADD,4151922,4753047,601125
RETRIEVE,2784087,2839195,55108
ADD,2751537,2951974,200437
RETRIEVE,2841241,2907205,65964
DELETE,685030,1074647,389617
RETRIEVE,1971824,2080350,108526
RETRIEVE,240322,312978,72656
RETRIEVE,2802422,2903320,100898
RETRIEVE,1474974,1592258,117284
RETRIEVE,3469818,3598504,128686
RETRIEVE,3923652,4051012,127360
ADD,1452454,1713610,261156
RETRIEVE,511480,559224,47744
RETRIEVE,4582433,4694953,112520
RETRIEVE,4290271,4405431,115160
ADD,3059997,3271097,211100
RETRIEVE,1806865,1944639,137774
RETRIEVE,2090969,2183459,92490
DELETE,3569727,3827233,257506
RETRIEVE,3454491,3533755,79264
ADD,1294055,1948330,654275
RETRIEVE,3674594,3760366,85772
RETRIEVE,4735916,4831518,95602
ADD,1834660,2538222,703562
ADD,2799295,3228916,429621
DELETE,2493852,2895096,401244
ADD,628943,738514,109571
ADD,3557627,3827139,269512
ADD,4158453,4542650,384197
RETRIEVE,927586,1055970,128384
RETRIEVE,3426551,3547107,120556
RETRIEVE,3668402,3744768,76366
RETRIEVE,519561,556649,37088
RETRIEVE,4373920,4446042,72122
RETRIEVE,2014179,2102849,88670
RETRIEVE,4098413,4172457,74044
RETRIEVE,2185801,2305033,119232
RETRIEVE,958454,1028716,70262
RETRIEVE,4332770,4400510,67740
ADD,4222510,4527848,305338
RETRIEVE,1337065,1420775,83710
RETRIEVE,1809699,1898725,89026
RETRIEVE,3751537,3831565,80028
ADD,1390379,1789538,399159
RETRIEVE,3376799,3476171,99372
ADD,2071666,2531860,460194
RETRIEVE,4557319,4611343,54024
RETRIEVE,1872085,1991613,119528
ADD,2669572,2943207,273635
RETRIEVE,3726028,3812458,86430
RETRIEVE,555980,638036,82056
ADD,321705,913686,591981
RETRIEVE,4754973,4784147,29174
RETRIEVE,267072,338322,71250
RETRIEVE,3230873,3329097,98224
RETRIEVE,1785889,1810681,24792
RETRIEVE,1815108,1876702,61594
RETRIEVE,624441,733493,109052
ADD,966538,1718636,752098
RETRIEVE,4239967,4315899,75932
DELETE,3639538,4350919,711381
RETRIEVE,3345800,3450432,104632
RETRIEVE,1088305,1177851,89546
ADD,4028023,4622681,594658
RETRIEVE,2621395,2681449,60054
RETRIEVE,3392900,3505188,112288
ADD,2192272,2594479,402207
RETRIEVE,330227,451671,121444
DELETE,4481414,4805513,324099
RETRIEVE,2711280,2819996,108716
DELETE,2592261,3117000,524739
ADD,4474746,4775693,300947
RETRIEVE,1991418,2077238,85820
RETRIEVE,1202433,1279171,76738
RETRIEVE,2792880,2866458,73578
DELETE,4240322,4709752,469430
DELETE,3756722,4286770,530048
RETRIEVE,4652241,4723087,70846
RETRIEVE,2235124,2317782,82658
RETRIEVE,3069292,3151478,82186
ADD,741049,1219077,478028
RETRIEVE,853326,951266,97940
ADD,1751831,2121687,369856
ADD,3480389,3785857,305468
ADD,1023468,1451208,427740
RETRIEVE,3632788,3707332,74544
ADD,1287516,1701999,414483
ADD,4326982,4645522,318540
ADD,1620940,2162624,541684
RETRIEVE,4497055,4592585,95530
ADD,3074989,3376121,301132
RETRIEVE,314363,403553,89190
RETRIEVE,1055030,1146936,91906
ADD,1082318,1503008,420690
RETRIEVE,3494646,3612378,117732
RETRIEVE,2701390,2792954,91564
DELETE,2949514,3398813,449299
RETRIEVE,69761,175311,105550
RETRIEVE,1866274,1983804,117530
RETRIEVE,684130,747934,63804
RETRIEVE,1623561,1711813,88252
RETRIEVE,823781,918781,95000
