type,start,end,duration
RETRIEVE,2642499,2734323,91824
DELETE,2343658,2898118,554460
RETRIEVE,2510689,2614797,104108
DELETE,1316602,1707970,391368
RETRIEVE,655627,702215,46588
ADD,2173432,2654795,481363
DELETE,1397129,1738182,341053
DELETE,4108906,4676475,567569
ADD,216750,711695,494945
RETRIEVE,786704,871738,85034
ADD,3591064,3835053,243989
DELETE,3526961,4011168,484207
DELETE,360715,811070,450355
ADD,3668627,3967063,298436
ADD,1101557,1617671,516114
ADD,2766938,3132180,365242
RETRIEVE,474862,603558,128696
RETRIEVE,3752926,3844168,91242
DELETE,2557244,2846666,289422
ADD,3660066,3958799,298733
RETRIEVE,1638663,1696567,57904
ADD,3098413,3555021,456608
ADD,1352262,1876658,524396
ADD,1199600,1993175,793575
DELETE,3419137,3806030,386893
DELETE,1561010,2019610,458600
ADD,1245040,1661932,416892
ADD,878772,1472735,593963
RETRIEVE,2950506,3016026,65520
RETRIEVE,785459,878761,93302
DELETE,3683598,4078616,395018
DELETE,3770697,4260611,489914
RETRIEVE,4155379,4272127,116748
ADD,337065,714166,377101
RETRIEVE,1685339,1776407,91068
ADD,3017322,3325606,308284
ADD,2722150,3324831,602681
ADD,1442729,1833337,390608
DELETE,2185801,2510168,324367
RETRIEVE,2531608,2627546,95938
ADD,3269349,3817527,548178
DELETE,1712929,2240299,527370
DELETE,2677895,3150021,472126
RETRIEVE,3977644,4078748,101104
DELETE,40313,432802,392489
ADD,957618,1447041,489423
ADD,3048947,3506574,457627
DELETE,770181,1324937,554756
RETRIEVE,493852,598802,104950
RETRIEVE,2125255,2184337,59082
RETRIEVE,3832752,3909282,76530
RETRIEVE,2222024,2321472,99448
ADD,2657407,3025049,367642
DELETE,1406660,1872746,466086
RETRIEVE,4014179,4061367,47188
DELETE,101469,591235,489766
DELETE,1966538,2635154,668616
RETRIEVE,3232687,3384389,151702
RETRIEVE,617905,743607,125702
RETRIEVE,1391545,1481409,89864
RETRIEVE,2287516,2355082,67566
ADD,2017220,2755857,738637
DELETE,572970,1085610,512640
RETRIEVE,1940969,2061565,120596
RETRIEVE,2726028,2746376,20348
DELETE,4558562,4844834,286272
DELETE,1872757,2484860,612103
RETRIEVE,2338846,2419830,80984
RETRIEVE,2628943,2740493,111550
ADD,2650880,3101170,450290
ADD,4137610,4475874,338264
RETRIEVE,4249406,4332426,83020
ADD,292584,745477,452893
DELETE,663709,1091218,427509
DELETE,1216080,1637076,420996
DELETE,646944,1153321,506377
RETRIEVE,3175517,3235219,59702
RETRIEVE,368883,452845,83962
DELETE,723752,1125413,401661
RETRIEVE,3559448,3661192,101744
ADD,2371455,2743923,372468
ADD,1992832,2433126,440294
RETRIEVE,4151922,4190328,38406
ADD,2782698,3147607,364909
RETRIEVE,3248475,3339651,91176
ADD,2750642,3041945,291303
RETRIEVE,2840508,2965840,125332
ADD,684746,1200045,515299
RETRIEVE,1969085,2095123,126038
RETRIEVE,239967,298499,58532
ADD,2800560,3340113,539553
DELETE,124349,452431,328082
RETRIEVE,2757136,2834806,77670
RETRIEVE,3923652,4038898,115246
DELETE,510689,1161064,650375
RETRIEVE,4582433,4690931,108498
DELETE,4290271,4709525,419254
DELETE,3059781,3568048,508267
RETRIEVE,1803388,1934476,131088
RETRIEVE,2090372,2155886,65514
RETRIEVE,1266573,1363669,97096
ADD,3674594,4177719,503125
RETRIEVE,1175517,1274575,99058
ADD,1833995,2410467,576472
DELETE,2489436,2986919,497483
DELETE,628629,1201395,572766
ADD,4158453,4415996,257543
RETRIEVE,926010,1028820,102810
DELETE,3426551,3871977,445426
ADD,3668402,4045855,377453
RETRIEVE,518828,639964,121136
ADD,4373920,4560052,186132
ADD,2012877,2354717,341840
DELETE,4098413,4514082,415669
DELETE,2184335,2364751,180416
RETRIEVE,3940064,4063050,122986
RETRIEVE,3022059,3110567,88508
RETRIEVE,957741,1035363,77622
RETRIEVE,4332770,4420880,88110
ADD,4222510,4548304,325794
DELETE,531837,986389,454552
RETRIEVE,1336860,1464920,128060
ADD,3751537,4208433,456896
RETRIEVE,1387998,1504520,116522
ADD,3376799,3673299,296500
ADD,2069761,2532549,462788
RETRIEVE,1871527,1953897,82370
RETRIEVE,3726028,3818634,92606
DELETE,3476365,4313669,837304
DELETE,1050246,1390233,339987
RETRIEVE,320315,431855,111540
RETRIEVE,1785459,1908349,122890
DELETE,1814131,2144909,330778
ADD,623561,926555,302994
RETRIEVE,966310,1053636,87326
DELETE,3639538,4180017,540479
RETRIEVE,3345800,3460670,114870
RETRIEVE,4028023,4124081,96058
RETRIEVE,2620940,2713084,92144
DELETE,2190823,2712894,522071
ADD,2454119,2918713,464594
ADD,328661,812470,483809
RETRIEVE,4481414,4614922,133508
ADD,2710256,3085717,375461
ADD,2591064,3133785,542721
RETRIEVE,4474746,4557390,82644
DELETE,1990784,2377047,386263
RETRIEVE,2179608,2299186,119578
ADD,1202026,1542810,340784
ADD,2791047,3225995,434948
DELETE,3822670,4287060,464390
DELETE,3756722,4339410,582688
RETRIEVE,4652241,4711625,59384
RETRIEVE,2234438,2317158,82720
RETRIEVE,736338,826754,90416
RETRIEVE,4181921,4254909,72988
DELETE,852696,1043210,190514
ADD,3480389,3777435,297046
DELETE,4035467,4501627,466160
ADD,1022059,1324562,302503
DELETE,3632788,4010648,377860
RETRIEVE,1286197,1388357,102160
DELETE,4326982,4554462,227480
RETRIEVE,4497055,4589373,92318
ADD,4184335,4640980,456645
DELETE,313105,746107,433002
RETRIEVE,1054531,1134753,80222
RETRIEVE,1080926,1168714,87788
ADD,3494646,3804570,309924
RETRIEVE,2700040,2798292,98252
RETRIEVE,2949072,3047414,98342
RETRIEVE,1865608,1943218,77610
DELETE,1623030,1951937,328907
RETRIEVE,823567,969127,145560
DELETE,2698766,3258034,559268
ADD,3620235,3962381,342146
ADD,3481414,3820308,338894
DELETE,4343889,4743614,399725
ADD,2922123,3289237,367114
ADD,1332146,1554993,222847
RETRIEVE,3390379,3390379,0
RETRIEVE,793656,872942,79286
RETRIEVE,2117384,2214036,96652
RETRIEVE,4231730,4372938,141208
RETRIEVE,555231,655317,100086
RETRIEVE,1888816,2001114,112298
ADD,2240322,2279585,39263
RETRIEVE,3935283,4070591,135308
RETRIEVE,90969,200261,109292
RETRIEVE,4433245,4519423,86178
RETRIEVE,2608099,2717531,109432
RETRIEVE,1696796,1815352,118556
DELETE,4106893,4674369,567476
RETRIEVE,852480,962226,109746
RETRIEVE,4095175,4203981,108806
RETRIEVE,4187450,4292974,105524
RETRIEVE,3509371,3603451,94080
RETRIEVE,3733298,3838572,105274
DELETE,2391430,2786930,395500
RETRIEVE,3653848,3738556,84708
DELETE,3558562,4021405,462843
RETRIEVE,3368838,3428558,59720
DELETE,3466783,4031823,565040
ADD,321705,915752,594047
ADD,4209,459344,455135
RETRIEVE,2612426,2691360,78934
ADD,2101972,2772293,670321
ADD,1338906,1717415,378509
ADD,3603866,3896262,292396
RETRIEVE,4368883,4457067,88184
DELETE,2420905,2942828,521923
ADD,4263333,4744733,481400
RETRIEVE,302389,365379,62990
DELETE,91070,536737,445667
DELETE,3992832,4413411,420579
RETRIEVE,4179608,4261160,81552
RETRIEVE,4171355,4249693,78338
DELETE,2623561,2976204,352643
DELETE,1929131,2477022,547891
RETRIEVE,3111496,3202982,91486
DELETE,1338607,1896791,558184
DELETE,2786704,3139939,353235
RETRIEVE,2876977,2980319,103342
ADD,3287708,3614382,326674
RETRIEVE,2387178,2514758,127580
DELETE,4140994,4453447,312453
DELETE,2603866,2989722,385856
RETRIEVE,1208599,1304707,96108
DELETE,1544894,2050873,505979
ADD,2820435,2905159,84724
DELETE,2857388,3241669,384281
RETRIEVE,4232165,4321381,89216
DELETE,4306138,4714580,408442
ADD,3368883,3854860,485977
DELETE,135287,563537,428250
RETRIEVE,1387488,1444246,56758
RETRIEVE,182425,263457,81032
RETRIEVE,40496,117712,77216
RETRIEVE,2972704,3071924,99220
ADD,3234438,3633245,398807
RETRIEVE,2210721,2287007,76286
ADD,1332698,1579855,247157
RETRIEVE,3777558,3928952,151394
RETRIEVE,1794161,1880065,85904
RETRIEVE,3899897,3963241,63344
RETRIEVE,2218645,2321769,103124
DELETE,3799295,4280482,481187
RETRIEVE,2216080,2300640,84560
ADD,4049450,4638234,588784
DELETE,1935942,2384490,448548
ADD,1479190,1928331,449141
ADD,2348739,2753485,404746
ADD,943630,1649026,705396
ADD,2328661,2671131,342470
DELETE,2012345,2380079,367734
DELETE,220884,577668,356784
ADD,4277539,4560735,283196
DELETE,889091,1334943,445852
RETRIEVE,3069292,3177362,108070
RETRIEVE,4557544,4679262,121718
RETRIEVE,2305699,2386019,80320
ADD,3573673,3967348,393675
RETRIEVE,4124349,4175143,50794
RETRIEVE,2192272,2258952,66680
ADD,1974865,2409063,434198
RETRIEVE,1210771,1333737,122966
DELETE,2992914,3544928,552014
ADD,2866957,3293771,426814
ADD,2628629,3161085,532456
RETRIEVE,1905563,2053749,148186
RETRIEVE,3520773,3551895,31122
ADD,4544366,4604539,60173
RETRIEVE,3900770,3950084,49314
DELETE,3090303,3547727,457424
ADD,2390379,2767155,376776
ADD,4194170,4331136,136966
ADD,2480389,2885135,404746
ADD,3770181,4089583,319402
RETRIEVE,3348464,3497158,148694
DELETE,4528118,4812528,284410
ADD,1695260,2232367,537107
DELETE,300968,655232,354264
DELETE,318801,1050629,731828
DELETE,3865608,4082554,216946
ADD,2866274,3128588,262314
ADD,2146205,2618063,471858
DELETE,1558786,2262459,703673
ADD,520362,942006,421644
RETRIEVE,4662506,4761080,98574
ADD,1441699,1931511,489812
ADD,1766685,2206506,439821
RETRIEVE,4842891,4895779,52888
ADD,3990723,4339317,348594
RETRIEVE,1092225,1172481,80256
RETRIEVE,4201761,4332661,130900
RETRIEVE,362585,460453,97868
RETRIEVE,3418772,3524326,105554
ADD,1833100,2302966,469866
DELETE,2326982,2481411,154429
RETRIEVE,2667312,2746332,79020
RETRIEVE,4596907,4711799,114892
RETRIEVE,1630485,1729289,98804
RETRIEVE,4830607,4854691,24084
RETRIEVE,3151573,3229245,77672
ADD,4530951,4745868,214917
RETRIEVE,2441699,2516125,74426
RETRIEVE,1012344,1135242,122898
DELETE,3523972,3973901,449929
RETRIEVE,4381709,4507985,126276
RETRIEVE,3484488,3583144,98656
ADD,3569967,3934616,364649
DELETE,1069761,1508192,438431
RETRIEVE,1430458,1548776,118318
DELETE,3044241,3425687,381446
DELETE,4401250,4885679,484429
ADD,3423714,3847304,423590
ADD,4054014,4418876,364862
RETRIEVE,3194299,3272855,78556
DELETE,3469104,4035515,566411
RETRIEVE,3544894,3617116,72222
DELETE,656726,1102875,446149
RETRIEVE,959787,1075429,115642
RETRIEVE,1852696,1948266,95570
RETRIEVE,2033379,2119325,85946
RETRIEVE,3222510,3300218,77708
DELETE,3674059,4278389,604330
DELETE,2171537,2264265,92728
RETRIEVE,2887642,2991838,104196
RETRIEVE,3292039,3391243,99204
DELETE,853326,1300716,447390
RETRIEVE,3205650,3253822,48172
ADD,1621395,1987758,366363
DELETE,3983284,4598769,615485
RETRIEVE,660228,744236,84008
DELETE,725700,1213743,488043
DELETE,1224296,1561337,337041
RETRIEVE,2680498,2779684,99186
ADD,3144877,3580483,435606
ADD,3273584,4013991,740407
ADD,1343658,1793577,449919
DELETE,2991418,3352121,360703
RETRIEVE,3716356,3759756,43400
RETRIEVE,327392,414224,86832
RETRIEVE,2785459,2887119,101660
RETRIEVE,3695260,3791662,96402
RETRIEVE,2734114,2832776,98662
ADD,1290271,1702753,412482
RETRIEVE,2155379,2266771,111392
ADD,1184335,1588571,404236
ADD,2137258,2354621,217363
ADD,3101557,3558721,457164
RETRIEVE,1986829,2101005,114176
RETRIEVE,2098413,2206939,108526
ADD,4426551,4867929,441378
DELETE,2232638,2782567,549929
ADD,3735916,4124940,389024
RETRIEVE,4787903,4868563,80660
RETRIEVE,469104,554880,85776
ADD,685047,1259972,574925
RETRIEVE,3687328,3761722,74394
DELETE,3317878,3636149,318271
DELETE,1701390,2005922,304532
RETRIEVE,3338846,3422940,84094
RETRIEVE,287516,382572,95056
ADD,581017,968874,387857
RETRIEVE,4040313,4076577,36264
RETRIEVE,4651126,4750070,98944
RETRIEVE,1940663,2031371,90708
DELETE,3765420,4044290,278870
DELETE,680498,1191711,511213
RETRIEVE,1652752,1786782,134030
RETRIEVE,1572706,1641002,68296
ADD,1372638,1984176,611538
DELETE,1292197,1774051,481854
RETRIEVE,2597461,2755743,158282
DELETE,3095066,3638927,543861
RETRIEVE,1534467,1627431,92964
ADD,1250930,1604870,353940
DELETE,1958454,2251174,292720
DELETE,2645909,3127013,481104
ADD,2348464,2770321,421857
RETRIEVE,2274588,2322518,47930
ADD,4230873,4602535,371662
DELETE,4266573,4709757,443184
RETRIEVE,1507148,1576786,69638
ADD,3051597,3594263,542666
ADD,4203874,4809733,605859
ADD,1453612,1905857,452245
DELETE,2231730,2580602,348872
DELETE,2520362,3163130,642768
RETRIEVE,1052829,1148755,95926
DELETE,1502047,1888153,386106
DELETE,2936712,3259921,323209
RETRIEVE,980104,1067214,87110
ADD,1735916,2093181,357265
RETRIEVE,4075535,4174457,98922
ADD,608160,959042,350882
DELETE,2075535,2469163,393628
RETRIEVE,1475300,1606218,130918
ADD,544366,853836,309470
DELETE,342738,955490,612752
RETRIEVE,1161877,1242419,80542
DELETE,1834660,2377048,542388
ADD,363551,788586,425035
ADD,1182425,1608377,425952
RETRIEVE,2174069,2257275,83206
DELETE,3238339,3784294,545955
ADD,1035079,1333209,298130
RETRIEVE,2418165,2519509,101344
RETRIEVE,2574515,2657423,82908
RETRIEVE,1213881,1263447,49566
RETRIEVE,1765420,1848340,82920
RETRIEVE,254258,329998,75740
ADD,454491,731712,277221
ADD,3422546,3688269,265723
RETRIEVE,2055050,2215812,160762
RETRIEVE,292197,382131,89934
ADD,808868,1031039,222171
ADD,2544366,2896119,351753
DELETE,1174069,1602671,428602
DELETE,4419781,4876065,456284
RETRIEVE,2132085,2224067,91982
ADD,1373920,1722523,348603
RETRIEVE,3102562,3197210,94648
RETRIEVE,3219557,3316007,96450
DELETE,2438780,2884086,445306
RETRIEVE,603866,694092,90226
RETRIEVE,4237473,4340941,103468
RETRIEVE,1664519,1787553,123034
RETRIEVE,1408733,1466153,57420
RETRIEVE,3996456,4066466,70010
DELETE,1368883,1795437,426554
ADD,1546593,2008482,461889
RETRIEVE,2618305,2727057,108752
RETRIEVE,1613996,1729798,115802
RETRIEVE,2432720,2523364,90644
RETRIEVE,1419838,1461180,41342
ADD,2497336,2898978,401642
ADD,4364293,4737290,372997
ADD,4094840,4344656,249816
RETRIEVE,359822,467878,108056
DELETE,3520362,3949779,429417
RETRIEVE,4135422,4224230,88808
RETRIEVE,2095175,2203519,108344
DELETE,2366014,2675012,308998
ADD,2668402,3117488,449086
DELETE,3667312,4004742,337430
ADD,3217713,3558210,340497
ADD,3840508,4327457,486949
ADD,748056,748056,0
ADD,257338,650188,392850
DELETE,620665,925392,304727
RETRIEVE,2349264,2450500,101236
ADD,3596907,4065309,468402
ADD,2665991,3068652,402661
ADD,921018,1238761,317743
ADD,3233426,3671950,438524
DELETE,314363,729624,415261
RETRIEVE,2663943,2730961,67018
RETRIEVE,1558562,1645032,86470
RETRIEVE,1646944,1763908,116964
RETRIEVE,4710071,4822041,111970
RETRIEVE,2090303,2217153,126850
RETRIEVE,3257338,3356524,99186
ADD,716356,1249998,533642
DELETE,696765,872901,176136
RETRIEVE,2409780,2481284,71504
ADD,56048,587837,531789
RETRIEVE,348739,424033,75294
DELETE,4123538,4585279,461741
ADD,2193572,2765717,572145
RETRIEVE,3190823,3261143,70320
DELETE,2129491,2505554,376063
RETRIEVE,2624441,2725203,100762
RETRIEVE,3210721,3308637,97916
DELETE,1688909,2085576,396667
ADD,1438780,1780036,341256
RETRIEVE,1521008,1588660,67652
ADD,2834916,3322718,487802
ADD,3140994,3432222,291228
ADD,2306506,2852767,546261
RETRIEVE,3754973,3810837,55864
RETRIEVE,1187450,1235956,48506
DELETE,1647330,2081083,433753
RETRIEVE,889131,996947,107816
DELETE,1119847,1578920,459073
DELETE,2558310,3272535,714225
DELETE,2696765,3114731,417966
RETRIEVE,2770725,2830537,59812
DELETE,3334256,3724531,390275
RETRIEVE,1267984,1337604,69620
DELETE,560340,840303,279963
RETRIEVE,264427,341657,77230
RETRIEVE,3290271,3398929,108658
ADD,3866957,4365116,498159
ADD,3758764,3915963,157199
RETRIEVE,1233781,1327051,93270
DELETE,2264427,2539183,274756
RETRIEVE,639538,738178,98640
DELETE,1528439,1795608,267169
DELETE,1692556,2183156,490600
ADD,2754973,3300891,545918
DELETE,2343889,2690204,346315
DELETE,2171355,2683921,512566
RETRIEVE,3455987,3528777,72790
RETRIEVE,3511480,3587466,75986
DELETE,4190823,4695384,504561
RETRIEVE,3231730,3298636,66906
RETRIEVE,4233781,4284801,51020
ADD,1992864,2338781,345917
ADD,3202026,3426096,224070
RETRIEVE,4667312,4738446,71134
ADD,701414,947960,246546
DELETE,4002345,4248140,245795
RETRIEVE,4624441,4744353,119912
DELETE,702088,1345190,643102
RETRIEVE,2872085,2997619,125534
ADD,4073972,4601583,527611
ADD,1892509,2279606,387097
ADD,2495492,2901377,405885
RETRIEVE,4752995,4849219,96224
DELETE,812737,1212091,399354
RETRIEVE,3222024,3298458,76434
RETRIEVE,4173432,4296068,122636
RETRIEVE,530951,650975,120024
RETRIEVE,581104,684028,102924
RETRIEVE,599925,711045,111120
DELETE,1526961,2105416,578455
DELETE,316602,729797,413195
ADD,1887836,2471581,583745
RETRIEVE,2763060,2877800,114740
ADD,1318801,1845143,526342
RETRIEVE,3824686,3938960,114274
DELETE,1580,454307,452727
RETRIEVE,3307284,3455086,147802
DELETE,3265417,3568170,302753
ADD,1305930,1718717,412787
DELETE,2091812,2636961,545149
DELETE,3192272,3552771,360499
RETRIEVE,1478322,1569776,91454
DELETE,1777558,2404095,626537
ADD,3979265,4498390,519125
DELETE,2756722,3341439,584717
DELETE,4053446,4432835,379389
RETRIEVE,3108906,3265022,156116
RETRIEVE,4743449,4832207,88758
RETRIEVE,4154229,4188769,34540
RETRIEVE,2711280,2850132,138852
RETRIEVE,3509005,3581427,72422
DELETE,4101469,4532711,431242
DELETE,294154,909379,615225
RETRIEVE,1602460,1707576,105116
ADD,2537231,3101743,564512
ADD,459222,851868,392646
RETRIEVE,1342738,1448868,106130
DELETE,3225100,3828411,603311
RETRIEVE,4192811,4272987,80176
RETRIEVE,3171355,3271901,100546
RETRIEVE,3497336,3577622,80286
ADD,3254033,3607797,353764
DELETE,1218034,1648869,430835
ADD,3606602,3889835,283233
RETRIEVE,185801,288331,102530
ADD,2382928,2812484,429556
RETRIEVE,826758,908182,81424
RETRIEVE,789195,892215,103020
RETRIEVE,1478968,1577448,98480
ADD,1841241,2169592,328351
RETRIEVE,1066760,1182380,115620
RETRIEVE,1928646,2023868,95222
ADD,3845394,4191598,346204
ADD,422546,768722,346176
RETRIEVE,4557244,4722186,164942
RETRIEVE,982500,1079176,96676
ADD,4346194,4801107,454913
RETRIEVE,2194299,2299099,104800
ADD,3581828,3952536,370708
RETRIEVE,935942,1023150,87208
ADD,666804,1042886,376082
RETRIEVE,2941547,3020051,78504
RETRIEVE,4080782,4229144,148362
ADD,3979461,4698430,718969
RETRIEVE,3618347,3705153,86806
RETRIEVE,294055,398439,104384
ADD,2880594,3128835,248241
ADD,2213881,2642316,428435
RETRIEVE,1742657,1847383,104726
ADD,669572,972789,303217
RETRIEVE,2713114,2791228,78114
RETRIEVE,3090372,3178078,87706
RETRIEVE,1915029,1989089,74060
RETRIEVE,2175517,2232311,56794
DELETE,1080527,1387209,306682
ADD,2142993,2709589,566596
ADD,280987,664063,383076
ADD,1334940,1815747,480807
ADD,2232687,2657277,424590
RETRIEVE,2085239,2166517,81278
DELETE,665991,665991,0
RETRIEVE,2321705,2430979,109274
ADD,4137258,4603075,465817
RETRIEVE,2082442,2166546,84104
ADD,403487,741242,337755
DELETE,771973,1221679,449706
RETRIEVE,1264427,1327233,62806
DELETE,1880313,2181167,300854
