type,start,end,duration
ADD,2887194,4571473,1684279
RETRIEVE,1268480,1537762,269282
RETRIEVE,2642499,2977969,335470
DELETE,2343658,3413602,1069944
ADD,2510689,3625435,1114746
DELETE,1316602,2203758,887156
ADD,3041543,4277376,1235833
ADD,655627,2253599,1597972
RETRIEVE,4108906,4320250,211344
DELETE,786704,2134442,1347738
RETRIEVE,3591064,3842142,251078
RETRIEVE,3526961,3840473,313512
RETRIEVE,360715,643545,282830
RETRIEVE,3988215,4211317,223102
DELETE,1395182,2309075,913893
ADD,3668627,4656608,987981
DELETE,2766938,4148269,1381331
RETRIEVE,474974,635396,160422
RETRIEVE,4026080,4320846,294766
RETRIEVE,660218,1027474,367256
RETRIEVE,3752926,4024778,271852
ADD,3660066,4887644,1227578
RETRIEVE,1638663,1938263,299600
ADD,3098413,4826643,1728230
RETRIEVE,1352262,1652142,299880
RETRIEVE,1199600,1378900,179300
RETRIEVE,1561010,1715114,154104
RETRIEVE,1638873,1884687,245814
DELETE,1245040,2749302,1504262
ADD,878772,2066078,1187306
RETRIEVE,2950506,3414946,464440
ADD,1665303,2374766,709463
ADD,3683598,4735930,1052332
RETRIEVE,3696022,4025882,329860
RETRIEVE,4152668,4411814,259146
DELETE,248779,1545720,1296941
RETRIEVE,1685339,1901071,215732
DELETE,3017322,3654485,637163
RETRIEVE,4066760,4247430,180670
RETRIEVE,2722150,2910334,188184
RETRIEVE,495492,877154,381662
ADD,1442729,2995898,1553169
DELETE,2531608,3190904,659296
DELETE,3269349,4682078,1412729
DELETE,1712929,3735250,2022321
RETRIEVE,41547,372511,330964
RETRIEVE,2771973,2994305,222332
RETRIEVE,1951257,2169321,218064
RETRIEVE,3786704,3964980,178276
RETRIEVE,957618,1268672,311054
ADD,1520362,2651229,1130867
DELETE,3048947,3944691,895744
DELETE,770181,1487065,716884
ADD,2935283,3943664,1008381
ADD,3232638,4189629,956991
ADD,494646,2108293,1613647
RETRIEVE,2125255,2381973,256718
RETRIEVE,3832752,4085092,252340
ADD,2222024,3274763,1052739
