time,success,flying,dropped,failed
0,0,0,0,0
100000,0,321,30,0
200000,20,603,70,0
300000,164,814,95,1
400000,290,963,147,1
500000,458,1037,194,1
600000,598,1155,239,1
700000,743,1389,283,1
800000,935,1450,340,1
900000,1169,1503,395,1
1000000,1401,1590,430,1
1100000,1695,1635,488,1
1200000,1929,1674,498,1
1300000,2189,1689,539,1
1400000,2419,1686,556,5
1500000,2699,1647,596,5
1600000,2954,1647,615,5
1700000,3225,1770,655,7
1800000,3503,1797,693,10
1900000,3783,1771,723,10
2000000,4141,1712,746,10
2100000,4438,1751,765,10
2200000,4788,1645,817,10
2300000,5052,1691,840,10
2400000,5343,1690,881,10
2500000,5596,1746,893,10
2600000,5859,1707,947,10
2700000,6112,1785,989,16
2800000,6385,1774,1049,16
2900000,6698,1679,1090,16
3000000,6920,1745,1144,16
3100000,7159,1852,1181,16
3200000,7409,1847,1192,16
3300000,7731,1824,1236,16
3400000,7993,1850,1281,16
3500000,8322,1824,1319,16
3600000,8575,1848,1366,16
3700000,8909,1906,1408,16
3800000,9216,1913,1445,20
3900000,9542,1813,1485,20
4000000,9845,1790,1513,20
4100000,10096,1828,1547,20
4200000,10402,1762,1577,20
4300000,10654,1798,1628,20
4400000,10927,1796,1668,20
4500000,11280,1665,1706,20
4600000,11589,1610,1761,20
4700000,11855,1717,1792,20
4800000,12165,1690,1848,20
4900000,12507,1633,1885,26
