time,success,flying,dropped,failed
0,0,0,0,0
100000,14,298,97,0
200000,109,359,205,0
300000,208,476,319,0
400000,313,608,399,0
500000,535,590,528,2
600000,750,582,634,2
700000,937,643,761,2
800000,1159,618,869,2
900000,1411,555,959,4
1000000,1597,609,1037,4
1100000,1785,708,1133,4
1200000,2024,654,1232,4
1300000,2227,754,1306,4
1400000,2459,776,1402,4
1500000,2698,803,1482,6
1600000,2869,807,1604,6
1700000,3152,765,1770,6
1800000,3400,760,1857,6
1900000,3655,729,1936,6
2000000,3884,791,2034,6
2100000,4174,754,2140,6
2200000,4423,733,2216,6
2300000,4594,780,2346,15
2400000,4875,710,2431,17
2500000,5138,674,2493,17
2600000,5316,731,2572,17
2700000,5531,779,2704,17
2800000,5849,674,2804,20
2900000,6058,695,2884,20
3000000,6310,631,3016,20
3100000,6463,707,3126,20
3200000,6676,642,3226,20
3300000,6910,694,3283,20
3400000,7188,659,3377,20
3500000,7419,634,3465,20
3600000,7615,616,3579,20
3700000,7780,692,3712,20
3800000,7986,705,3799,20
3900000,8201,701,3875,20
4000000,8433,722,3988,21
4100000,8667,793,4151,21
4200000,8996,642,4251,27
4300000,9224,641,4342,27
4400000,9466,600,4447,28
4500000,9632,656,4540,28
4600000,9782,731,4620,28
4700000,10016,760,4754,30
4800000,10218,728,4883,31
4900000,10419,724,5025,31
