type,start,end,duration
DELETE,2887194,3886153,998959
RETRIEVE,1268480,1419290,150810
RETRIEVE,2642499,2798891,156392
RETRIEVE,2343658,2497934,154276
ADD,2510689,3714958,1204269
ADD,1316602,2251099,934497
ADD,3041543,3862393,820850
RETRIEVE,655627,875099,219472
DELETE,2173432,2862310,688878
ADD,1397129,2285563,888434
RETRIEVE,786704,979626,192922
DELETE,216080,1295269,1079189
DELETE,3591064,4534826,943762
DELETE,359822,982051,622229
RETRIEVE,3988215,4195877,207662
RETRIEVE,4549798,4725766,175968
RETRIEVE,1395182,1554304,159122
DELETE,3668627,4307440,638813
DELETE,1101557,1698920,597363
ADD,2766938,3957718,1190780
DELETE,474862,1571181,1096319
RETRIEVE,4026080,4290632,264552
RETRIEVE,660218,849780,189562
DELETE,3752926,4826501,1073575
RETRIEVE,2557244,2777308,220064
RETRIEVE,1638663,1697525,58862
DELETE,3098413,4526641,1428228
RETRIEVE,1352262,1481468,129206
ADD,3419137,4415048,995911
RETRIEVE,1561010,1706128,145118
RETRIEVE,1638873,1900055,261182
ADD,1245040,2035595,790555
RETRIEVE,2950506,3036522,86016
DELETE,1665303,2860660,1195357
RETRIEVE,785459,1034369,248910
RETRIEVE,3683598,3806268,122670
RETRIEVE,3770697,3996677,225980
RETRIEVE,4155379,4439253,283874
RETRIEVE,3696022,3971628,275606
RETRIEVE,336860,531794,194934
DELETE,248581,1002921,754340
DELETE,1685339,2353900,668561
ADD,3017322,4275112,1257790
RETRIEVE,757136,1020898,263762
ADD,2722150,3187967,465817
ADD,494646,1391112,896466
DELETE,1442729,2075798,633069
DELETE,2185801,2837880,652079
DELETE,2531608,3234827,703219
RETRIEVE,830607,1136883,306276
RETRIEVE,1712929,2035965,323036
DELETE,2677895,3404220,726325
DELETE,3977644,4761084,783440
RETRIEVE,41547,227473,185926
RETRIEVE,2771973,2959581,187608
ADD,1681038,2178327,497289
DELETE,1951257,3026055,1074798
RETRIEVE,4065825,4256609,190784
DELETE,3786704,4770553,983849
RETRIEVE,1520362,1602288,81926
ADD,3048947,4136567,1087620
RETRIEVE,770181,903321,133140
DELETE,3232638,3982244,749606
ADD,2935283,4022801,1087518
RETRIEVE,4233581,4435427,201846
ADD,493852,1169787,675935
RETRIEVE,2125255,2302937,177682
RETRIEVE,3832752,4106324,273572
RETRIEVE,2222024,2403642,181618
DELETE,2657407,3347137,689730
ADD,4014179,4837957,823778
DELETE,1966538,2947654,981116
ADD,3232687,4492478,1259791
RETRIEVE,2957618,3115322,157704
RETRIEVE,4510689,4757505,246816
ADD,617905,1362777,744872
ADD,1391545,2105381,713836
ADD,2287516,3223440,935924
DELETE,2017220,3226288,1209068
DELETE,572970,1502205,929235
RETRIEVE,1940969,2166131,225162
DELETE,2726028,3272807,546779
DELETE,1713694,2268126,554432
DELETE,1952643,2941078,988435
DELETE,2338607,3468834,1130227
RETRIEVE,726028,842180,116152
DELETE,1537440,2653928,1116488
RETRIEVE,4656726,4796538,139812
RETRIEVE,4558562,4707874,149312
ADD,4442729,4817615,374886
RETRIEVE,4660218,4886754,226536
RETRIEVE,1872757,1996753,123996
RETRIEVE,2338846,2528514,189668
RETRIEVE,2628943,2827449,198506
DELETE,2650880,3466875,815995
RETRIEVE,1824686,2039786,215100
RETRIEVE,4137610,4424236,286626
DELETE,1857388,2672457,815069
RETRIEVE,2409581,2644175,234594
RETRIEVE,3372638,3652088,279450
RETRIEVE,4302389,4600925,298536
RETRIEVE,292197,453155,160958
DELETE,663709,1674990,1011281
RETRIEVE,1216080,1363682,147602
ADD,646944,1964758,1317814
DELETE,441699,1219302,777603
DELETE,3175517,3820676,645159
DELETE,723752,1339802,616050
RETRIEVE,3559448,3698126,138678
RETRIEVE,2371455,2636727,265272
DELETE,1992832,2861570,868738
ADD,4151922,4758689,606767
DELETE,3248475,3727022,478547
ADD,2750642,3207695,457053
DELETE,2840508,3782407,941899
DELETE,684746,1704597,1019851
RETRIEVE,1969085,2173395,204310
RETRIEVE,239967,489213,249246
DELETE,2800560,4054283,1253723
DELETE,125255,956500,831245
ADD,1474862,2763521,1288659
DELETE,2757136,3601647,844511
DELETE,3469818,4255092,785274
DELETE,3923652,4813328,889676
RETRIEVE,1449796,1649774,199978
RETRIEVE,510689,701531,190842
RETRIEVE,4582433,4706437,124004
ADD,4290271,4805570,515299
ADD,3059781,4112196,1052415
RETRIEVE,1803388,2012924,209536
ADD,2090372,2959351,868979
ADD,3569727,4489948,920221
RETRIEVE,3454491,3731929,277438
DELETE,1292584,2285716,993132
ADD,1266573,2315829,1049256
DELETE,3674594,4597251,922657
ADD,1175517,2230563,1055046
RETRIEVE,1833995,2115879,281884
DELETE,2799274,3416806,617532
DELETE,2489436,3222320,732884
ADD,628629,1619185,990556
DELETE,3557627,4217090,659463
RETRIEVE,2235124,2393878,158754
RETRIEVE,4158453,4371831,213378
RETRIEVE,1187552,1429390,241838
RETRIEVE,926010,1147830,221820
RETRIEVE,3668402,3876884,208482
DELETE,518828,1602279,1083451
RETRIEVE,2012877,2119097,106220
ADD,3940064,4781944,841880
DELETE,3022059,3993614,971555
ADD,51597,909801,858204
DELETE,957741,1853022,895281
RETRIEVE,531837,727221,195384
ADD,1336860,2287320,950460
RETRIEVE,1808868,1997346,188478
RETRIEVE,3751537,3940041,188504
ADD,1387998,2072799,684801
ADD,3376799,4423276,1046477
RETRIEVE,2069761,2292049,222288
RETRIEVE,4557319,4759445,202126
ADD,784938,1734592,949654
RETRIEVE,2669212,2904564,235352
RETRIEVE,3726028,3841242,115214
RETRIEVE,3476365,3592125,115760
RETRIEVE,555759,712377,156618
ADD,1050246,1722596,672350
DELETE,318801,1073299,754498
RETRIEVE,265417,419807,154390
ADD,3230873,3703018,472145
DELETE,1785459,3068179,1282720
RETRIEVE,1814131,1928903,114772
RETRIEVE,623561,764169,140608
ADD,966310,1732120,765810
ADD,3639538,4407562,768024
ADD,3345800,3582720,236920
RETRIEVE,1086160,1230708,144548
DELETE,2620940,3328421,707481
DELETE,3392900,4441952,1049052
RETRIEVE,2454119,2711563,257444
ADD,2190823,3065657,874834
DELETE,327392,1406155,1078763
ADD,2710256,3592539,882283
DELETE,2591064,4159751,1568687
DELETE,1990784,2990012,999228
DELETE,2179608,3206879,1027271
ADD,1202026,2400384,1198358
ADD,2791047,3927602,1136555
ADD,3822670,4667348,844678
RETRIEVE,3756722,3981428,224706
RETRIEVE,4652241,4832881,180640
RETRIEVE,2234438,2431726,197288
RETRIEVE,3069220,3291216,221996
RETRIEVE,736338,930986,194648
RETRIEVE,1751537,1898837,147300
ADD,3480389,4728081,1247692
RETRIEVE,4035467,4285489,250022
RETRIEVE,1022059,1226285,204226
ADD,3632788,4535786,902998
DELETE,1286197,2090223,804026
RETRIEVE,4326982,4469782,142800
RETRIEVE,4497055,4647579,150524
RETRIEVE,4184335,4301863,117528
RETRIEVE,3073972,3283784,209812
ADD,310715,1036928,726213
ADD,1054531,1985415,930884
DELETE,1080926,1785701,704775
RETRIEVE,3494646,3678056,183410
ADD,2700040,3489317,789277
RETRIEVE,2949072,3160742,211670
DELETE,73663,934072,860409
RETRIEVE,1865608,2056006,190398
ADD,683598,1228172,544574
DELETE,1623030,2191192,568162
RETRIEVE,823567,1024939,201372
ADD,3620235,4316219,695984
ADD,3481414,4703841,1222427
RETRIEVE,4343889,4494637,150748
RETRIEVE,2618139,2749109,130970
RETRIEVE,2922123,3126855,204732
RETRIEVE,1332146,1566706,234560
ADD,3390379,3848553,458174
DELETE,793656,1321063,527407
RETRIEVE,2117384,2347272,229888
RETRIEVE,555231,699069,143838
RETRIEVE,1888816,2004324,115508
DELETE,3935283,4889504,954221
DELETE,91070,747337,656267
RETRIEVE,4290342,4457980,167638
RETRIEVE,2608099,2745465,137366
RETRIEVE,3440478,3659176,218698
DELETE,1696796,2519869,823073
RETRIEVE,852480,1038232,185752
DELETE,4095175,4747754,652579
DELETE,841965,1695852,853887
DELETE,3733298,4491529,758231
RETRIEVE,4665303,4851921,186618
DELETE,2391430,3038997,647567
RETRIEVE,3653848,3871648,217800
ADD,3558562,4338861,780299
RETRIEVE,3368838,3577076,208238
ADD,3050246,3848945,798699
ADD,320315,963500,643185
ADD,4209,912617,908408
RETRIEVE,1353707,1531355,177648
DELETE,2101972,3078196,976224
ADD,3267072,4042452,775380
DELETE,1338906,2161386,822480
DELETE,3846038,4236971,390933
DELETE,2867824,3393638,525814
DELETE,3603866,4481683,877817
RETRIEVE,4664519,4853383,188864
DELETE,91812,704823,613011
ADD,3992832,4730913,738081
RETRIEVE,4498305,4683807,185502
DELETE,4171355,4507970,336615
DELETE,2623561,3688076,1064515
RETRIEVE,1929131,2128039,198908
ADD,2065825,2928180,862355
DELETE,3111496,3703995,592499
ADD,618347,1086564,468217
RETRIEVE,1338607,1644823,306216
ADD,2786704,3424951,638247
ADD,2372638,3197416,824778
ADD,3287708,3886303,598595
ADD,2876977,3979828,1102851
RETRIEVE,850346,1024226,173880
RETRIEVE,2387178,2589834,202656
ADD,1254033,1997052,743019
RETRIEVE,4140994,4228032,87038
DELETE,665303,1666532,1001229
RETRIEVE,2455987,2712583,256596
DELETE,2603866,3341308,737442
DELETE,1208599,2354122,1145523
RETRIEVE,1544894,1742490,197596
DELETE,2820435,3444452,624017
RETRIEVE,1069220,1295574,226354
ADD,2476365,3078036,601671
DELETE,2857388,3666602,809214
ADD,1935283,2794395,859112
RETRIEVE,3368883,3676443,307560
DELETE,135422,1050093,914671
ADD,1387488,1895644,508156
RETRIEVE,182425,365341,182916
RETRIEVE,43102,214564,171462
DELETE,2972704,3785151,812447
RETRIEVE,3234438,3373636,139198
ADD,2210721,2684478,473757
ADD,799295,1123218,323923
DELETE,1332698,1812921,480223
DELETE,3777558,4753143,975585
ADD,3899897,4761918,862021
DELETE,4349264,4461058,111794
ADD,2582433,3495752,913319
RETRIEVE,2225113,2420539,195426
RETRIEVE,3799295,3887979,88684
ADD,2216080,3118226,902146
ADD,1935942,2988746,1052804
DELETE,1479190,2462937,983747
DELETE,2074989,2983221,908232
DELETE,2348739,3627837,1279098
DELETE,943630,1803650,860020
ADD,23468,843901,820433
RETRIEVE,3119847,3248437,128590
RETRIEVE,2328661,2586799,258138
RETRIEVE,3741049,3930395,189346
RETRIEVE,889091,1073105,184014
ADD,3069292,3525382,456090
DELETE,2305699,2725666,419967
RETRIEVE,3573673,3804729,231056
RETRIEVE,4124349,4308641,184292
RETRIEVE,245040,406652,161612
DELETE,3652241,4479530,827289
ADD,2192272,3316792,1124520
DELETE,1974865,2688340,713475
RETRIEVE,1668387,1840923,172536
DELETE,955854,2006833,1050979
RETRIEVE,1210771,1439887,229116
ADD,2992914,3799599,806685
DELETE,3697729,4642982,945253
RETRIEVE,2628629,2792429,163800
RETRIEVE,1905563,2058777,153214
RETRIEVE,3520773,3729705,208932
RETRIEVE,1668627,1823891,155264
RETRIEVE,181921,362835,180914
DELETE,2390379,3275886,885507
RETRIEVE,4194170,4347022,152852
