time,success,flying,dropped,failed
0,0,0,0,0
100000,0,374,30,0
200000,10,651,70,0
300000,96,842,139,0
400000,191,985,172,0
500000,330,1159,220,0
600000,420,1328,258,0
700000,541,1552,303,2
800000,643,1731,333,2
900000,782,1823,376,2
1000000,968,1896,432,2
1100000,1135,2075,455,2
1200000,1330,2085,502,2
1300000,1538,2171,533,2
1400000,1728,2252,583,2
1500000,1938,2281,618,2
1600000,2204,2316,663,2
1700000,2471,2413,706,2
1800000,2769,2406,747,2
1900000,2982,2446,795,6
2000000,3364,2481,827,8
2100000,3633,2512,892,11
2200000,3974,2404,944,11
2300000,4217,2486,1003,11
2400000,4481,2498,1046,11
2500000,4767,2461,1076,11
2600000,5101,2410,1089,11
2700000,5356,2492,1148,11
2800000,5681,2477,1169,11
2900000,5933,2470,1196,11
3000000,6215,2524,1241,11
3100000,6507,2551,1290,12
3200000,6797,2461,1336,12
3300000,7096,2467,1405,13
3400000,7376,2406,1449,14
3500000,7630,2432,1488,14
3600000,7994,2303,1543,14
3700000,8253,2352,1595,19
3800000,8497,2370,1628,19
3900000,8728,2457,1673,19
4000000,8964,2534,1726,19
4100000,9311,2552,1760,19
4200000,9626,2484,1794,19
4300000,9912,2514,1811,19
4400000,10192,2498,1861,23
4500000,10501,2476,1880,25
4600000,10800,2428,1923,29
4700000,11120,2454,1947,29
4800000,11364,2522,1989,29
4900000,11638,2577,2006,29
