type,start,end,duration
RETRIEVE,703011,746235,43224
RETRIEVE,1796257,1852607,56350
RETRIEVE,2166630,2211990,45360
RETRIEVE,745160,822530,77370
DELETE,582518,878758,296240
ADD,3654568,3868105,213537
DELETE,4129160,4257769,128609
DELETE,2653505,2855026,201521
DELETE,2928138,3160583,232445
RETRIEVE,2804912,2878932,74020
RETRIEVE,385852,408708,22856
RETRIEVE,3669072,3714996,45924
RETRIEVE,296471,343421,46950
ADD,1872543,2031530,158987
DELETE,3518053,3845051,326998
DELETE,469955,680592,210637
RETRIEVE,1281077,1325017,43940
ADD,1469955,1739430,269475
DELETE,3628782,3889475,260693
DELETE,1986771,2177165,190394
DELETE,2737666,2996923,259257
ADD,4291746,4439384,147638
RETRIEVE,2336335,2377491,41156
RETRIEVE,4167683,4228495,60812
RETRIEVE,2976591,3030493,53902
ADD,3422386,3612817,190431
RETRIEVE,3924714,3962676,37962
RETRIEVE,4845317,4882885,37568
DELETE,1811574,2012659,201085
RETRIEVE,1129160,1165010,35850
RETRIEVE,396632,432650,36018
ADD,1381285,1583667,202382
DELETE,4451370,4591328,139958
RETRIEVE,3092361,3149499,57138
DELETE,305234,543155,237921
RETRIEVE,2119338,2163412,44074
RETRIEVE,87735,133443,45708
RETRIEVE,2617313,2680961,63648
DELETE,2984361,3125561,141200
DELETE,693673,985670,291997
RETRIEVE,2087735,2119663,31928
DELETE,1742569,1942830,200261
RETRIEVE,4782543,4845415,62872
RETRIEVE,3366637,3423191,56554
ADD,3251152,3586933,335781
RETRIEVE,3641981,3698265,56284
ADD,3180033,3332924,152891
ADD,4032423,4330461,298038
RETRIEVE,3790100,3838032,47932
DELETE,353966,380490,26524
DELETE,371190,592342,221152
DELETE,2759072,2954358,195286
ADD,345708,485175,139467
ADD,4321891,4532463,210572
DELETE,3577633,3817508,239875
DELETE,1349052,1596246,247194
ADD,1944512,2193726,249214
ADD,751926,904836,152910
ADD,3877046,4143761,266715
RETRIEVE,183538,227342,43804
DELETE,1929678,2175196,245518
ADD,4314261,4570340,256079
DELETE,4054803,4252618,197815
DELETE,55239,238055,182816
RETRIEVE,3087735,3139535,51800
ADD,2216539,2495121,278582
RETRIEVE,3206043,3249387,43344
RETRIEVE,4195468,4248574,53106
DELETE,1851409,2051457,200048
RETRIEVE,177942,236796,58854
DELETE,3966870,4180138,213268
ADD,4180033,4383379,203346
DELETE,784589,923713,139124
DELETE,4087735,4360564,272829
RETRIEVE,3905102,3941328,36226
ADD,3236719,3402173,165454
DELETE,4604912,4820153,215241
ADD,3477761,3668275,190514
ADD,1063143,1275614,212471
DELETE,3582714,3777592,194878
ADD,4396452,4650613,254161
ADD,1554803,1893326,338523
RETRIEVE,3958533,4005207,46674
ADD,4652316,4861267,208951
ADD,506058,775255,269197
DELETE,3827118,4092878,265760
DELETE,3233419,3460908,227489
DELETE,3840828,4062795,221967
RETRIEVE,742569,790789,48220
ADD,657602,850627,193025
ADD,1924714,2157771,233057
ADD,640504,851104,210600
RETRIEVE,1559922,1602070,42148
ADD,1969006,2190130,221124
RETRIEVE,2236719,2270741,34022
RETRIEVE,1129442,1172884,43442
RETRIEVE,635708,693564,57856
ADD,3563084,3794825,231741
DELETE,3329899,3497845,167946
RETRIEVE,2118742,2163758,45016
DELETE,223752,531610,307858
RETRIEVE,956589,1010753,54164
ADD,1481295,1673375,192080
ADD,371319,552013,180694
RETRIEVE,216766,294300,77534
DELETE,3739330,3981244,241914
ADD,1534371,1761508,227137
RETRIEVE,4378117,4432103,53986
DELETE,3965485,4112549,147064
ADD,1979496,2177959,198463
RETRIEVE,1140430,1182090,41660
ADD,10448,132581,122133
RETRIEVE,2184151,2229081,44930
RETRIEVE,2272868,2312520,39652
RETRIEVE,4216519,4262871,46352
DELETE,4594646,4829602,234956
ADD,1146464,1354544,208080
