type,start,end,duration
ADD,2743449,2998083,254634
DELETE,1336860,1877089,540229
ADD,2205650,2559117,353467
DELETE,1326982,1599348,272366
RETRIEVE,2560385,2651869,91484
ADD,3793600,4043490,249890
DELETE,1574515,2060418,485903
DELETE,3173432,3521896,348464
DELETE,4557319,4869494,312175
RETRIEVE,785459,869251,83792
DELETE,1497774,1825782,328008
RETRIEVE,1871527,1968205,96678
DELETE,2669212,3037030,367818
DELETE,3726028,4056204,330176
DELETE,1306138,1801407,495269
DELETE,1559448,1871429,311981
RETRIEVE,555980,649688,93708
DELETE,1051597,1575614,524017
DELETE,2040496,2672842,632346
RETRIEVE,4479190,4564282,85092
ADD,3230873,3625891,395018
DELETE,652752,1053857,401105
ADD,2792880,3102850,309970
RETRIEVE,2406064,2495342,89278
RETRIEVE,4780596,4876016,95420
RETRIEVE,1785459,1908757,123298
DELETE,2219557,2667216,447659
ADD,3771852,4232175,460323
ADD,2726259,3165589,439330
RETRIEVE,1814131,1886923,72792
DELETE,2939255,3448208,508953
RETRIEVE,3639538,3749998,110460
ADD,4239967,4713529,473562
RETRIEVE,3345800,3447442,101642
RETRIEVE,4028023,4111157,83134
ADD,3392900,3812219,419319
ADD,2569727,2856342,286615
RETRIEVE,3489436,3489436,0
DELETE,2190823,2758549,567726
DELETE,2454119,2852834,398715
RETRIEVE,4608099,4724099,116000
ADD,2591064,2895346,304282
ADD,2710256,3106534,396278
ADD,4474746,4844963,370217
ADD,2179608,2510007,330399
ADD,1202026,1654428,452402
RETRIEVE,2828526,2890252,61726
RETRIEVE,3344067,3424159,80092
ADD,4240322,4698005,457683
ADD,3822670,4230547,407877
DELETE,3622353,4251382,629029
ADD,442729,997707,554978
RETRIEVE,3069220,3168754,99534
RETRIEVE,2669572,2709572,40000
ADD,3893950,4461083,567133
ADD,4181921,4631155,449234
DELETE,2596907,3187952,591045
RETRIEVE,642499,741321,98822
RETRIEVE,3971824,4102634,130810
ADD,3480389,3914744,434355
DELETE,1155206,1368150,212944
ADD,85239,443449,358210
ADD,1023468,1329705,306237
ADD,3632788,3995844,363056
RETRIEVE,1286197,1368781,82584
RETRIEVE,4326982,4357564,30582
ADD,3151922,3370498,218576
DELETE,115351,622451,507100
RETRIEVE,4497055,4595077,98022
ADD,4184335,4544926,360591
ADD,3073972,3528449,454477
DELETE,1055030,1392090,337060
ADD,1082318,1495522,413204
ADD,3528691,3924460,395769
RETRIEVE,2700040,2773652,73612
DELETE,1887281,2356554,469273
DELETE,69761,486940,417179
RETRIEVE,1865608,1924192,58584
RETRIEVE,684130,741596,57466
RETRIEVE,1623030,1718468,95438
RETRIEVE,69220,165146,95926
ADD,3789846,4284828,494982
RETRIEVE,823781,938101,114320
RETRIEVE,3481414,3584880,103466
RETRIEVE,4343889,4397959,54070
DELETE,146314,501560,355246
RETRIEVE,1842891,1911891,69000
DELETE,3986829,4562412,575583
ADD,2117384,2445077,327693
RETRIEVE,59781,169359,109578
DELETE,4231730,4572023,340293
ADD,4338607,4841519,502912
ADD,956928,1357848,400920
RETRIEVE,1888816,1983646,94830
ADD,2240322,2383124,142802
ADD,3557244,4230400,673156
ADD,3445431,4234495,789064
RETRIEVE,3935283,4026341,91058
RETRIEVE,90969,198683,107714
RETRIEVE,3246413,3371825,125412
ADD,4290342,4753417,463075
ADD,4433245,4841400,408155
DELETE,4536563,4890206,353643
RETRIEVE,3752398,3830262,77864
RETRIEVE,2608099,2739939,131840
ADD,2718147,3296277,578130
ADD,2332770,2559823,227053
RETRIEVE,3440478,3479554,39076
ADD,1696796,2318608,621812
DELETE,852696,1067113,214417
ADD,1452454,1938088,485634
RETRIEVE,4324152,4453898,129746
DELETE,4187450,4528568,341118
DELETE,4115351,4586291,470940
DELETE,2391430,2696953,305523
RETRIEVE,3653848,3743396,89548
ADD,3558562,3870070,311508
DELETE,1062288,1577003,514715
RETRIEVE,3368838,3468722,99884
RETRIEVE,3050246,3145626,95380
ADD,3466783,4061682,594899
ADD,4172560,4497909,325349
ADD,4209,459344,455135
ADD,218645,612802,394157
ADD,1125953,1429883,303930
ADD,2612426,3099292,486866
DELETE,1353707,1655034,301327
RETRIEVE,1662506,1758956,96450
DELETE,2867824,3296315,428491
ADD,4368883,4719033,350150
DELETE,2420905,2858595,437690
ADD,245040,426179,181139
RETRIEVE,3537509,3592751,55242
DELETE,91070,608991,517921
ADD,3992832,4595198,602366
ADD,4179608,4628082,448474
DELETE,3248581,3922052,673471
RETRIEVE,4171355,4262747,91392
DELETE,4029366,4562471,533105
RETRIEVE,2044447,2139155,94708
RETRIEVE,1294154,1414894,120740
RETRIEVE,1929131,2022345,93214
DELETE,2065825,2234244,168419
ADD,2850346,3213420,363074
RETRIEVE,2294154,2432026,137872
ADD,618971,1131185,512214
RETRIEVE,1294055,1381121,87066
DELETE,3193572,3666217,472645
ADD,3324152,3812760,488608
ADD,1418772,1915579,496807
DELETE,1338607,2064357,725750
ADD,4048947,4610475,561528
RETRIEVE,2786704,2855520,68816
ADD,2693559,3260859,567300
DELETE,2372638,2835111,462473
DELETE,2876977,3187105,310128
DELETE,3287708,3826900,539192
DELETE,852480,1464694,612214
RETRIEVE,3623561,3677861,54300
RETRIEVE,2380026,2476654,96628
ADD,2455987,2779697,323710
DELETE,2603866,3190974,587108
DELETE,3647330,4036919,389589
DELETE,2073972,2492939,418967
RETRIEVE,2401250,2502916,101666
RETRIEVE,2820435,2914431,93996
DELETE,4192565,4586305,393740
DELETE,1069292,1299792,230500
RETRIEVE,822639,909573,86934
ADD,3785893,4114865,328972
RETRIEVE,530606,661656,131050
RETRIEVE,2476365,2664023,187658
ADD,3957741,4325661,367920
DELETE,4232165,4670087,437922
RETRIEVE,4453612,4524988,71376
ADD,1935283,2287333,352050
DELETE,135287,606070,470783
DELETE,1387488,1558399,170911
DELETE,2474974,3071587,596613
DELETE,1823781,2265890,442109
RETRIEVE,4553128,4616142,63014
RETRIEVE,874783,945019,70236
RETRIEVE,182425,244275,61850
DELETE,4530606,4806455,275849
DELETE,2537509,3074264,536755
ADD,40496,690352,649856
ADD,1287708,1731281,443573
RETRIEVE,44447,164161,119714
DELETE,4090303,4538647,448344
RETRIEVE,3234438,3304378,69940
DELETE,835347,1414135,578788
DELETE,2668627,2951128,282501
ADD,2123538,2666463,542925
ADD,800560,1112911,312351
ADD,4210721,4684867,474146
ADD,1539203,1920028,380825
RETRIEVE,1332698,1401266,68568
DELETE,2937063,3341420,404357
ADD,4349264,4792513,443249
ADD,2582433,3082770,500337
ADD,2218645,2714581,495936
ADD,2225113,2616416,391303
RETRIEVE,2030542,2102236,71694
RETRIEVE,2216080,2280108,64028
RETRIEVE,1479190,1591198,112008
DELETE,2348739,2830334,481595
RETRIEVE,2004403,2088741,84338
RETRIEVE,2457312,2547674,90362
RETRIEVE,23468,113308,89840
ADD,3119847,3559807,439960
DELETE,2872757,3345569,472812
RETRIEVE,354806,481888,127082
RETRIEVE,2230873,2323677,92804
ADD,1750642,2128123,377481
DELETE,220884,562233,341349
RETRIEVE,889131,1000011,110880
ADD,3069292,3610476,541184
RETRIEVE,4557544,4658580,101036
RETRIEVE,2216750,2300188,83438
ADD,2088332,2554038,465706
ADD,246413,793044,546631
DELETE,3652241,4057496,405255
RETRIEVE,2192272,2241676,49404
DELETE,1974865,2361156,386291
ADD,4608160,4862692,254532
RETRIEVE,2255133,2367669,112536
ADD,1377612,1884600,506988
RETRIEVE,1905563,2038711,133148
RETRIEVE,3090303,3195559,105256
RETRIEVE,4368767,4486317,117550
ADD,1668627,2318223,649596
RETRIEVE,4394254,4475012,80758
DELETE,181921,685806,503885
ADD,2885032,3412569,527537
ADD,2785893,3295031,509138
RETRIEVE,4194170,4272540,78370
RETRIEVE,3770181,3895193,125012
RETRIEVE,2091070,2207830,116760
ADD,1789846,2249373,459527
ADD,3575725,4060822,485097
ADD,2553128,2895116,341988
RETRIEVE,3956235,4049137,92902
RETRIEVE,1695260,1790112,94852
DELETE,302152,756296,454144
RETRIEVE,4305930,4412338,106408
ADD,3463367,3921837,458470
RETRIEVE,2866274,2963922,97648
RETRIEVE,2871200,2961698,90498
RETRIEVE,1558786,1681598,122812
RETRIEVE,4453519,4547005,93486
DELETE,1158453,1716313,557860
ADD,701390,1042304,340914
RETRIEVE,3250930,3341654,90724
DELETE,4111496,4596759,485263
RETRIEVE,3508940,3618604,109664
DELETE,520926,884297,363371
DELETE,3487338,3862845,375507
ADD,4071912,4429946,358034
RETRIEVE,4662506,4751994,89488
ADD,1766685,2509973,743288
RETRIEVE,2095066,2195224,100158
ADD,647330,1347936,700606
ADD,2419781,2861937,442156
DELETE,4438780,4812166,373386
RETRIEVE,4418165,4519435,101270
DELETE,1419781,1745510,325729
ADD,674059,1123015,448956
DELETE,558259,1222762,664503
DELETE,3202689,3603720,401031
RETRIEVE,4201761,4304189,102428
ADD,2447104,2687285,240181
DELETE,217713,594388,376675
DELETE,3418772,3804035,385263
ADD,2356360,2806882,450522
DELETE,534819,932033,397214
ADD,4318801,4748079,429278
DELETE,4085239,4656439,571200
ADD,2001580,2324094,322514
ADD,2326982,2542270,215288
RETRIEVE,225113,311831,86718
DELETE,3736338,4104906,368568
RETRIEVE,3181921,3253947,72026
RETRIEVE,497774,608268,110494
ADD,951257,1588087,636830
RETRIEVE,2314363,2379985,65622
RETRIEVE,3321705,3486187,164482
DELETE,3857388,4260207,402819
