time,success,flying,dropped,failed
0,0,0,0,0
100000,7,345,49,0
200000,61,530,71,0
300000,95,813,94,0
400000,216,983,122,16
500000,446,1080,155,16
600000,764,1027,171,16
700000,994,1137,216,16
800000,1300,1097,267,16
900000,1608,1088,287,19
1000000,1938,1064,331,19
1100000,2147,1202,342,19
1200000,2454,1160,378,19
1300000,2712,1170,462,19
1400000,3043,1098,490,22
1500000,3351,1097,533,22
1600000,3719,1036,585,22
1700000,3970,1129,632,22
1800000,4237,1152,652,22
1900000,4580,1082,683,22
2000000,4913,997,755,22
2100000,5209,1013,788,22
2200000,5451,1007,838,22
2300000,5692,1058,875,22
2400000,5942,1091,918,25
2500000,6329,1002,959,25
2600000,6563,1046,1001,25
2700000,6834,1181,1038,26
2800000,7187,1148,1068,26
2900000,7492,1086,1090,26
3000000,7774,1124,1137,26
3100000,8106,1114,1208,26
3200000,8387,1073,1236,26
3300000,8607,1171,1279,26
3400000,8911,1113,1352,26
3500000,9216,1070,1403,30
3600000,9583,957,1428,30
3700000,9818,1093,1487,30
3800000,10116,1104,1533,30
3900000,10371,1098,1592,30
4000000,10633,1084,1638,30
4100000,10988,1069,1690,30
4200000,11317,1002,1719,30
4300000,11598,1004,1764,30
4400000,11805,1013,1795,30
4500000,12014,1062,1820,30
4600000,12302,1083,1872,30
4700000,12613,1140,1903,30
4800000,12864,1143,1932,30
4900000,13186,1106,1949,30
