time,success,flying,dropped,failed
0,0,0,0,0
100000,6,144,20,0
200000,59,193,29,0
300000,99,291,40,0
400000,166,343,56,5
500000,271,367,70,5
600000,393,361,78,5
700000,513,388,100,5
800000,634,383,122,5
900000,751,390,133,6
1000000,881,389,155,7
1100000,986,435,161,7
1200000,1136,395,176,7
1300000,1239,406,209,7
1400000,1387,374,222,7
1500000,1513,375,241,7
1600000,1659,349,264,7
1700000,1776,383,284,7
1800000,1888,396,296,7
1900000,2028,373,310,7
2000000,2154,356,340,8
2100000,2273,368,354,8
2200000,2404,344,371,8
2300000,2528,346,387,8
2400000,2638,355,404,8
2500000,2769,349,420,9
2600000,2863,374,439,9
2700000,2983,424,454,10
2800000,3136,408,466,10
2900000,3268,386,478,11
3000000,3383,409,500,11
3100000,3530,402,527,11
3200000,3641,394,538,11
3300000,3742,427,556,11
3400000,3863,414,584,11
3500000,3998,390,604,11
3600000,4149,350,617,11
3700000,4271,386,640,11
3800000,4405,378,660,11
3900000,4526,357,685,11
4000000,4622,375,707,11
4100000,4763,380,730,11
4200000,4896,359,743,11
4300000,5018,363,764,11
4400000,5121,357,779,11
4500000,5211,381,789,11
4600000,5330,370,802,11
4700000,5476,377,811,13
4800000,5601,384,823,13
4900000,5717,367,838,13
