type,start,end,duration
ADD,2887281,3404155,516874
RETRIEVE,1269349,1342487,73138
ADD,2645679,3192847,547168
ADD,2343810,2743673,399863
DELETE,2511480,3019098,507618
ADD,1317878,1680545,362667
RETRIEVE,3041547,3158947,117400
ADD,656726,1072089,415363
ADD,2174069,2621348,447279
DELETE,1398856,1658502,259646
ADD,216750,666021,449271
RETRIEVE,787903,928201,140298
RETRIEVE,3591064,3651784,60720
ADD,3526961,3891129,364168
ADD,360715,564181,203466
ADD,3988215,4347685,359470
RETRIEVE,1397129,1465773,68644
ADD,3668627,4006113,337486
ADD,1101972,1636772,534800
DELETE,474974,954540,479566
RETRIEVE,4026080,4122054,95974
RETRIEVE,660228,738134,77906
ADD,3752926,4147759,394833
RETRIEVE,2557319,2679493,122174
RETRIEVE,3660066,3760106,100040
DELETE,1638873,2202347,563474
ADD,1353707,1714215,360508
RETRIEVE,1201761,1285769,84008
ADD,3419137,3804696,385559
DELETE,1567514,1864125,296611
ADD,1638934,2159588,520654
RETRIEVE,1245407,1316129,70722
ADD,879213,1467951,588738
RETRIEVE,2951257,3074227,122970
DELETE,1665991,2177890,511899
ADD,785889,1122699,336810
ADD,3770697,4128333,357636
ADD,3683598,4191216,507618
DELETE,4155379,4844757,689378
ADD,3696022,4217880,521858
DELETE,337065,719252,382187
RETRIEVE,249406,364316,114910
ADD,1687328,2043417,356089
ADD,3017694,3540052,522358
ADD,4066760,4473711,406951
ADD,758123,1260618,502495
RETRIEVE,2723752,2828794,105042
DELETE,495492,1011245,515753
ADD,1445303,1978779,533476
RETRIEVE,2187450,2291912,104462
RETRIEVE,2531837,2658047,126210
DELETE,3269349,3702212,432863
ADD,832752,916225,83473
ADD,1713105,2077902,364797
ADD,2679816,3227929,548113
RETRIEVE,3977644,4065442,87798
DELETE,39678,874332,834654
DELETE,1681062,2066028,384966
ADD,4065825,4596558,530733
ADD,957741,1188130,230389
ADD,1520773,1883125,362352
ADD,3049450,3577830,528380
RETRIEVE,770387,851851,81464
ADD,2935942,3379117,443175
ADD,3232638,3897965,665327
DELETE,4233581,4819530,585949
RETRIEVE,494646,577284,82638
DELETE,2125953,2497606,371653
RETRIEVE,3832752,3921574,88822
DELETE,2222510,2912314,689804
ADD,2657545,3303871,646326
ADD,1408733,2002706,593973
RETRIEVE,4014179,4126799,112620
DELETE,101469,602417,500948
ADD,1968061,2544375,576314
ADD,3232687,3586506,353819
ADD,2957741,3271936,314195
RETRIEVE,4188138,4285976,97838
ADD,3688685,4025541,336856
ADD,618139,987328,369189
RETRIEVE,1392900,1498696,105796
DELETE,2287708,2913309,625601
ADD,2017322,2357300,339978
RETRIEVE,1941547,1995379,53832
DELETE,2726259,2946670,220411
RETRIEVE,1716356,1816120,99764
RETRIEVE,1953635,2013513,59878
ADD,2338846,2808628,469782
DELETE,1537509,2053132,515623
ADD,4442729,4488282,45553
ADD,1874783,2247335,372552
RETRIEVE,2338906,2445358,106452
RETRIEVE,2629706,2694288,64582
RETRIEVE,1826758,1888156,61398
DELETE,4137610,4558124,420514
ADD,1858771,2384335,525564
RETRIEVE,4175256,4236668,61412
ADD,2409780,2829896,420116
ADD,3372638,3876847,504209
DELETE,4302389,4739903,437514
RETRIEVE,1274588,1401386,126798
RETRIEVE,294055,390299,96244
RETRIEVE,663943,764935,100992
DELETE,1216750,1705506,488756
ADD,647270,890323,243053
RETRIEVE,441810,531242,89432
DELETE,3176154,3518680,342526
ADD,368883,802617,433734
DELETE,723833,1156243,432410
ADD,3559448,4027794,468346
ADD,2372638,3021289,648651
ADD,1992864,2264702,271838
ADD,4151922,4753047,601125
ADD,2784087,3039360,255273
ADD,2751537,2951974,200437
DELETE,2841241,3146802,305561
ADD,685030,1074647,389617
DELETE,1971824,2474542,502718
DELETE,240322,576881,336559
ADD,2802422,3269805,467383
DELETE,1474974,2018261,543287
RETRIEVE,3923652,4051012,127360
ADD,3469818,4065921,596103
ADD,1452454,1713610,261156
RETRIEVE,511480,559224,47744
RETRIEVE,4582433,4679229,96796
RETRIEVE,4290271,4405431,115160
ADD,3059997,3271097,211100
DELETE,1806865,2445066,638201
DELETE,2090969,2519404,428435
ADD,3569727,3827233,257506
ADD,3454491,3821660,367169
ADD,1294055,1948330,654275
DELETE,3674594,4071910,397316
ADD,1834660,2538222,703562
ADD,2799295,3228916,429621
ADD,2493852,2895096,401244
ADD,628943,738514,109571
ADD,3557627,3827139,269512
ADD,4158453,4542650,384197
DELETE,927586,1522290,594704
DELETE,3426551,3984994,558443
DELETE,3668402,4022147,353745
RETRIEVE,519561,556649,37088
DELETE,4373920,4708006,334086
RETRIEVE,2014179,2102849,88670
DELETE,4098413,4441402,342989
DELETE,2185801,2738111,552310
ADD,44447,402296,357849
ADD,958454,1283924,325470
ADD,4332770,4646557,313787
ADD,4222510,4527848,305338
DELETE,1337065,1724829,387764
RETRIEVE,1809699,1898725,89026
DELETE,3751537,4122245,370708
ADD,1390379,1789538,399159
RETRIEVE,3376799,3476171,99372
ADD,2071666,2531860,460194
RETRIEVE,1872085,1991613,119528
ADD,2669572,2943207,273635
DELETE,3726028,4126392,400364
DELETE,555980,936082,380102
ADD,321705,913686,591981
RETRIEVE,4754973,4855793,100820
RETRIEVE,267072,338322,71250
RETRIEVE,3230873,3329097,98224
DELETE,1785889,1900731,114842
DELETE,1815108,2100426,285318
ADD,624441,1129595,505154
ADD,966538,1718636,752098
ADD,3639538,4350919,711381
DELETE,4239967,4591702,351735
RETRIEVE,3345800,3450432,104632
RETRIEVE,1088305,1177851,89546
ADD,4028023,4622681,594658
DELETE,2621395,2899579,278184
DELETE,3392900,3913044,520144
ADD,2192272,2594479,402207
RETRIEVE,330227,451671,121444
ADD,4481414,4805513,324099
ADD,2592261,3117000,524739
DELETE,2711280,3214878,503598
RETRIEVE,4474746,4540280,65534
RETRIEVE,1991418,2077238,85820
DELETE,1202433,1557901,355468
DELETE,2792880,3133710,340830
ADD,4240322,4709752,469430
ADD,3756722,4286770,530048
DELETE,2235124,2618015,382891
DELETE,3069292,3449997,380705
ADD,741049,1219077,478028
RETRIEVE,853326,951266,97940
ADD,1751831,2121687,369856
ADD,3480389,3785857,305468
ADD,1023468,1451208,427740
ADD,3632788,3978093,345305
ADD,1287516,1701999,414483
ADD,4326982,4645522,318540
ADD,1620940,2162624,541684
ADD,3074989,3376121,301132
DELETE,314363,727512,413149
DELETE,1055030,1480760,425730
ADD,1082318,1503008,420690
DELETE,3494646,4040008,545362
RETRIEVE,2701390,2792954,91564
ADD,2949514,3398813,449299
DELETE,69761,558693,488932
RETRIEVE,1866274,1983804,117530
DELETE,684130,979685,295555
RETRIEVE,1623561,1711813,88252
ADD,823781,1263843,440062
DELETE,2698880,3103265,404385
ADD,3620235,3832076,211841
DELETE,3481414,3785585,304171
ADD,4343889,4858697,514808
ADD,2618305,3210814,592509
ADD,3390379,3906771,516392
DELETE,2119847,2630059,510212
ADD,4231730,4659971,428241
ADD,555759,961941,406182
ADD,1889091,2306075,416984
ADD,2243006,2763363,520357
ADD,1905304,2343291,437987
DELETE,3935283,4250831,315548
DELETE,90969,497623,406654
RETRIEVE,4290342,4408100,117758
DELETE,4433245,4860068,426823
RETRIEVE,1618305,1698235,79930
ADD,2608160,3153262,545102
ADD,3440478,4039574,599096
RETRIEVE,1697729,1745489,47760
ADD,4095175,4589295,494120
ADD,842891,1294849,451958
DELETE,4187450,4455360,267910
DELETE,3509371,3868147,358776
RETRIEVE,3733298,3869688,136390
RETRIEVE,4665303,4795487,130184
ADD,2391545,2518737,127192
ADD,3368838,3866006,497168
ADD,3051597,3303331,251734
DELETE,3466783,3680412,213629
