time,success,flying,dropped,failed
0,0,0,0,0
100000,29,208,20,0
200000,132,340,56,0
300000,319,415,105,0
400000,572,436,169,6
500000,845,405,210,6
600000,1111,464,242,6
700000,1455,474,283,15
800000,1674,454,316,15
900000,1987,386,358,15
1000000,2227,440,400,18
1100000,2459,430,425,28
1200000,2744,472,458,33
1300000,3067,375,526,33
1400000,3347,405,564,33
1500000,3559,460,612,33
1600000,3851,451,662,33
1700000,4158,525,715,33
1800000,4476,489,738,33
1900000,4805,459,775,35
2000000,5083,492,801,37
2100000,5398,417,839,37
2200000,5696,375,870,37
2300000,5977,381,917,39
2400000,6202,474,950,40
2500000,6464,465,1002,40
2600000,6781,377,1041,45
2700000,7073,425,1092,54
2800000,7333,412,1150,54
2900000,7602,432,1178,54
3000000,7877,460,1197,54
3100000,8133,435,1233,54
3200000,8398,449,1278,54
3300000,8701,425,1336,54
3400000,9010,477,1367,54
3500000,9306,467,1411,54
3600000,9530,535,1462,54
3700000,9851,596,1506,54
3800000,10267,425,1570,59
3900000,10505,435,1603,59
4000000,10767,489,1633,74
4100000,11035,478,1664,74
4200000,11345,434,1696,78
4300000,11606,480,1729,78
4400000,11898,557,1756,78
4500000,12259,492,1778,78
4600000,12590,404,1843,85
4700000,12886,454,1902,85
4800000,13137,442,1923,88
4900000,13429,408,1948,90
