time,success,flying,dropped,failed
0,0,0,0,0
10000,0,15,0,0
20000,0,25,1,0
30000,0,33,2,0
40000,0,42,2,0
50000,0,54,2,0
60000,0,65,5,0
70000,0,71,6,0
80000,1,81,6,0
90000,1,90,6,0
100000,2,99,7,0
110000,4,103,9,0
120000,5,113,12,0
130000,9,118,13,0
140000,11,126,16,0
150000,15,130,17,0
160000,20,131,19,0
170000,26,132,21,0
180000,33,134,24,0
190000,49,126,25,0
200000,63,117,28,0
210000,67,119,30,0
220000,75,117,34,1
230000,78,124,37,1
240000,88,120,40,1
250000,96,113,43,1
260000,103,112,44,1
270000,107,119,46,1
280000,115,117,50,1
290000,120,118,53,1
300000,124,125,56,1
310000,134,124,58,1
320000,146,117,59,1
330000,151,121,60,1
340000,160,118,66,1
350000,168,117,68,1
360000,176,121,69,1
370000,184,114,74,1
380000,191,108,77,1
390000,197,110,79,1
400000,204,112,82,1
410000,210,111,85,1
420000,222,105,86,1
430000,227,105,88,1
440000,235,99,94,1
450000,245,95,95,1
460000,249,101,97,1
470000,255,103,99,1
480000,262,101,101,1
490000,272,101,102,1
500000,280,105,104,1
510000,288,102,107,1
520000,292,100,108,1
530000,297,100,110,1
540000,305,109,113,1
550000,308,115,114,1
560000,313,121,115,1
570000,320,123,115,1
580000,328,127,116,1
590000,336,129,117,1
600000,345,127,118,1
610000,351,129,119,1
620000,357,133,121,1
630000,365,130,123,1
640000,372,133,125,1
650000,377,134,127,1
660000,386,135,129,1
670000,394,135,133,1
680000,401,134,136,1
690000,412,133,137,1
700000,420,128,143,1
710000,425,130,145,1
720000,437,129,147,1
730000,451,122,152,1
740000,460,116,155,1
750000,463,117,157,2
760000,466,131,158,2
770000,476,124,162,2
780000,482,131,165,2
790000,488,133,165,2
800000,499,131,167,2
810000,510,126,169,2
820000,517,123,172,2
830000,525,123,175,2
840000,535,119,179,2
850000,541,121,183,2
860000,552,117,187,2
870000,559,118,189,2
880000,565,118,189,2
890000,571,120,193,2
900000,585,112,195,2
910000,593,111,198,2
920000,596,117,202,2
930000,602,119,205,2
940000,605,125,205,2
950000,608,126,209,2
960000,619,124,210,2
970000,624,132,214,2
980000,633,129,216,2
990000,641,126,218,2
1000000,645,127,218,2
1010000,655,123,220,2
1020000,668,122,222,2
1030000,677,123,223,2
1040000,687,114,227,2
1050000,698,113,228,2
1060000,702,120,230,2
1070000,711,120,233,2
1080000,718,125,237,2
1090000,725,123,239,2
1100000,732,127,241,2
1110000,743,120,241,2
1120000,751,115,245,2
1130000,755,115,249,2
1140000,768,109,250,2
1150000,775,103,254,2
1160000,782,105,254,2
1170000,791,104,254,2
1180000,800,96,259,2
1190000,802,101,260,2
1200000,805,106,261,2
1210000,816,102,262,3
1220000,825,98,264,3
1230000,835,93,268,3
1240000,843,99,268,3
1250000,848,103,272,3
1260000,855,109,275,3
1270000,859,115,276,3
1280000,865,115,277,3
1290000,873,116,278,3
1300000,879,113,280,4
1310000,888,119,280,4
1320000,894,125,281,4
1330000,896,127,282,4
1340000,906,126,285,4
1350000,912,127,286,4
1360000,917,127,290,4
1370000,927,124,294,4
1380000,933,124,295,4
1390000,942,123,296,4
1400000,954,118,299,4
1410000,962,124,302,4
1420000,975,117,304,4
